id,timestamp_utc,anon_user_id,phase,post_type,target_event_id,target_anon_user_id,emotion_gemma_4_31b,emotion_gpt_5,emotion_gpt_5_4,human_emotion_labels,human_emotion_modal,institution_type_gpt5mini,institution_type_final,manual_reporting_status,manual_first_person,manual_motive_codes,manual_motive_parent_categories
e_1af54ae267814ce5b58eec3c39d5efb4,2022-01-13T07:38Z,u_d688ca4700464449aee20a077075c7d4,outside_primary_phase_window,post,,,neutral,,,[],,personal,personal,,,[],[]
e_3661f0005750421f97eee2fe61bba058,2022-01-13T07:12Z,u_08e0c56f7f28438f81a0eb19406eff89,outside_primary_phase_window,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_7b4d46d4d1524195a5897c3dcbeab04c,2022-01-13T06:51Z,u_f6c36c0a5dff47fda255775f0ddb7da8,outside_primary_phase_window,post,,,neutral,,,[],,personal,personal,,false,[],[]
e_f6180185921a418a83f47fd8f944f835,2022-01-13T07:03Z,u_01fbbf0c273c48f995c781672311e039,outside_primary_phase_window,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_305b62288a9b4a0990edef49fda614ef,2022-01-13T06:43Z,u_fd376b674e684b8ea59bcd8fdcc224fc,outside_primary_phase_window,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
e_c0732bb640c04ac5ae821d8b49da60d3,2022-01-13T06:20Z,u_3e4c876faf694f8c9cb731160b75159e,outside_primary_phase_window,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_e1fe63b263824f0db3e579f1f0d085e9,2022-01-13T05:26Z,u_c5b31c68a73741bfafeccbdea0195df9,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_a5819fbb6e474c6aabd745df7c8eacde,2022-01-13T04:36Z,u_1d712abf94324c118a2df4ec1e113fc0,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_49ab1b0af36a4c46baab517f073d19fc,2022-01-13T03:37Z,u_e6a0d67435fb43b8848dc3e550dd4c11,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,personal,personal,,,[],[]
e_dcdf7a203cc64b78b9e0845fdf176fc8,2022-01-13T03:08Z,u_b0a75a151a4f4a27a9de82bdc277f10a,phase_6,retweet,e_f75d89f3ef9c41e0b31511e577be4e87,u_9e8b26a43d214b58932151016744200a,sadness,,,[],,unknown,personal,,,[],[]
