code,motive_family,name_with_subcodes,frequency
0,0,Motives not mentioned in the twit,234
1,1,Demotivated by previous cases of reporting,7
2,2,Distrust in institutions,48
3,3,"Others minimized victims experience
3.1 ""They didn't believe me""
3.2 ""It wasn't that bad""",73
4,4,"""I tought that was normal"" (dismisal/minimizing)",4
5,5,"Lack of knowledge/awarenes that it is violence
5.1 I didn't know I should report
5.2 I didn't know that was violence (""I didn't know what was happening"")
5.3 I didn't know whom to report
5.4 I was just a child / young
5.5. Because I am a man",266
6,6,"Fear
6.1 fear to admit what happened / that it happened 
6.2 fear of perpetrator's revenge / intimidation
6.3 fear of others' reaction",74
7,7,Self-blame,58
8,8,"Kept from reporting by others (""advised me not to report"")",9
9,9,Managed to escape/defend,55
10,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),44
11,11,Shame/embarassment,78
12,12,"Lack of support from others
12.1 ...after victim told someone
12.2. ""I had no one to tell"" (lack of social support)",60
14,14,"Perpetrator was respected, powerfull, influential",62
15,15,Invisible violence / lack of physical evidence,56
16,16,"""No one would believe""",50
18,18,Perpetrator was a family member,36
19,19,"Protection of the family
19.1 from embaressment and pain
19.2 from revenge to a perpetrator (and it's consequences)",54
20,20,"Belief that perpetartor will change (""it won't happen again"")",4
22,22,Dependent on the perpetrator,13
23,23,I can deal with it,13
17,17,Blaming the victim,21
24,24,OTHER,9
x,x,Reporting other's experience,64
