phase_id,phase_label,metric_order,metric,metric_label,n_institutional,institutional_median_value,institutional_mean_value,institutional_median_percentile,n_regular,regular_median_value,regular_mean_value,regular_median_percentile,n_phase1_authors,phase1_median_value,phase1_mean_value,phase1_median_percentile,institutional_minus_regular_percentile,institutional_minus_phase1_percentile,institutional_vs_regular_mean_ratio,institutional_vs_phase1_mean_ratio
2,phase_2,1,in_strength,Retweets received,26,0.0,5.576923,0.0,3925,0.0,2.707006,0.0,103,8.0,28.640777,94.74,0.0,-94.74,2.0602,0.1947
2,phase_2,2,pagerank,PageRank,25,0.000115,0.000904,0.0,3853,0.000115,0.000253,0.0,99,0.000352,0.001237,93.79,0.0,-93.79,3.5692,0.7305
2,phase_2,3,out_strength,Retweets made,26,1.0,2.615385,10.93,3925,1.0,2.726624,10.93,103,1.0,4.281553,10.93,0.0,0.0,0.9592,0.6108
2,phase_2,4,in_degree,Unique retweeters,26,0.0,5.538462,0.0,3925,0.0,2.589045,0.0,103,8.0,26.504854,94.84,0.0,-94.84,2.1392,0.209
3,phase_3,1,in_strength,Retweets received,48,2.0,4.9375,87.88,3317,0.0,1.713898,0.0,75,3.0,7.973333,91.08,87.88,-3.21,2.8809,0.6193
3,phase_3,2,pagerank,PageRank,45,0.000165,0.000778,84.45,3176,0.000151,0.000303,0.0,68,0.000209,0.00054,87.58,84.45,-3.14,2.5644,1.44
3,phase_3,3,out_strength,Retweets made,48,0.0,0.625,0.0,3317,1.0,1.776304,15.13,75,0.0,1.32,0.0,-15.13,0.0,0.3519,0.4735
3,phase_3,4,in_degree,Unique retweeters,48,1.5,4.583333,83.64,3317,0.0,1.64697,0.0,75,3.0,7.413333,91.2,83.64,-7.56,2.7829,0.6183
4,phase_4,1,in_strength,Retweets received,25,1.0,1.64,77.28,1106,0.0,1.085895,0.0,36,1.0,1.611111,77.28,77.28,0.0,1.5103,1.0179
4,phase_4,2,pagerank,PageRank,23,0.000775,0.001025,83.25,1016,0.000544,0.00096,0.0,34,0.000698,0.000856,82.0,83.25,1.25,1.0677,1.1975
4,phase_4,3,out_strength,Retweets made,25,0.0,0.32,0.0,1106,1.0,1.115732,20.25,36,0.0,0.777778,0.0,-20.25,0.0,0.2868,0.4114
4,phase_4,4,in_degree,Unique retweeters,25,1.0,1.64,77.28,1106,0.0,1.050633,0.0,36,1.0,1.611111,77.28,77.28,0.0,1.561,1.0179
5,phase_5,1,in_strength,Retweets received,20,1.0,1.65,78.6,639,0.0,0.984351,0.0,15,1.0,1.2,78.6,78.6,0.0,1.6762,1.375
5,phase_5,2,pagerank,PageRank,15,0.001782,0.001845,83.62,571,0.000964,0.001699,0.0,14,0.001757,0.001818,83.45,83.62,0.17,1.0859,1.0148
5,phase_5,3,out_strength,Retweets made,20,0.0,0.45,0.0,639,1.0,1.021909,19.27,15,0.0,0.6,0.0,-19.27,0.0,0.4404,0.75
5,phase_5,4,in_degree,Unique retweeters,20,1.0,1.65,78.6,639,0.0,0.959311,0.0,15,1.0,1.2,78.6,78.6,0.0,1.72,1.375
6,phase_6,1,in_strength,Retweets received,18,1.0,2.5,80.84,504,0.0,0.918651,0.0,9,0.0,2.111111,0.0,80.84,80.84,2.7214,1.1842
6,phase_6,2,pagerank,PageRank,16,0.001192,0.001865,82.11,459,0.001145,0.001968,0.0,9,0.001145,0.002749,0.0,82.11,82.11,0.9478,0.6784
6,phase_6,3,out_strength,Retweets made,18,0.0,0.222222,0.0,504,1.0,1.0,17.43,9,1.0,1.111111,17.43,-17.43,-17.43,0.2222,0.2
6,phase_6,4,in_degree,Unique retweeters,18,1.0,2.444444,80.84,504,0.0,0.880952,0.0,9,0.0,1.777778,0.0,80.84,80.84,2.7748,1.375
7,phase_7,1,in_strength,Retweets received,2,0.0,0.0,0.0,303,0.0,1.016502,0.0,6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0
7,phase_7,2,pagerank,PageRank,2,0.001839,0.001839,0.0,296,0.001839,0.003347,0.0,6,0.001839,0.002672,0.0,0.0,0.0,0.5494,0.6881
7,phase_7,3,out_strength,Retweets made,2,1.0,1.0,9.18,303,1.0,1.009901,9.18,6,1.0,0.666667,9.18,0.0,0.0,0.9902,1.5
7,phase_7,4,in_degree,Unique retweeters,2,0.0,0.0,0.0,303,0.0,1.016502,0.0,6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0
8,phase_8,1,in_strength,Retweets received,3,3.0,4.333333,94.35,298,0.0,0.983221,0.0,11,0.0,1.090909,0.0,94.35,94.35,4.4073,3.9722
8,phase_8,2,pagerank,PageRank,2,0.003851,0.003851,47.18,264,0.002082,0.003759,0.0,8,0.002082,0.004109,0.0,47.18,47.18,1.0246,0.9372
8,phase_8,3,out_strength,Retweets made,3,1.0,1.0,8.97,298,1.0,1.016779,8.97,11,1.0,0.727273,8.97,0.0,0.0,0.9835,1.375
8,phase_8,4,in_degree,Unique retweeters,3,3.0,4.333333,94.35,298,0.0,0.922819,0.0,11,0.0,1.0,0.0,94.35,94.35,4.6958,4.3333
