motive_family,motive_label,label_assignments,unique_tweets,full_count_retweets,fractional_tweet_count,fractional_retweet_count,assignment_share,tweet_share,display_label
5,Lack of knowledge/awarenes that it is violence,289,266,1237,198.9,979.6666666666666,0.22918318794607453,0.3247863247863248,Lack of recognition as violence
6,Fear,159,155,968,111.93333333333334,707.9833333333333,0.1260904044409199,0.18925518925518925,Fear
7,Self-blame,98,98,454,63.233333333333334,251.81666666666666,0.07771609833465504,0.11965811965811966,Self-blame
11,Shame/embarassment,78,78,574,43.03333333333333,271.48333333333335,0.061855670103092786,0.09523809523809523,Shame or embarrassment
3,Others minimized victims experience,74,73,328,47.15,180.08333333333334,0.05868358445678033,0.08913308913308914,Others minimized the experience
14,"Perpetrator was respected, powerfull, influential",62,62,167,34.583333333333336,84.91666666666666,0.04916732751784298,0.0757020757020757,Perpetrator status or power
12,Lack of support from others,60,60,336,33.53333333333333,115.48333333333333,0.047581284694686754,0.07326007326007326,Lack of support
15,Invisible violence / lack of physical evidence,56,56,716,36.75,570.3333333333334,0.04440919904837431,0.06837606837606838,Invisible violence or lack of evidence
9,Managed to escape/defend,56,56,331,40.583333333333336,273.8333333333333,0.04440919904837431,0.06837606837606838,Escaped or defended oneself
19,Protection of the family,54,54,533,31.28333333333333,261.6666666666667,0.04282315622521808,0.06593406593406594,Family protection
16,"""No one would believe""",50,50,119,26.75,59.833333333333336,0.03965107057890563,0.06105006105006105,No one would believe
2,Distrust in institutions,48,48,533,34.5,430.0,0.0380650277557494,0.05860805860805861,Distrust in institutions
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),44,44,597,28.75,460.8333333333333,0.034892942109436956,0.05372405372405373,Gaslighting or self-doubt
18,Perpetrator was a family member,36,36,332,19.866666666666667,142.5,0.028548770816812053,0.04395604395604396,Perpetrator was family
4,"""I tought that was normal"" (dismisal/minimizing)",23,23,205,16.666666666666668,178.16666666666666,0.01823949246629659,0.028083028083028084,Experience treated as normal
24,Blaming the victim,21,21,32,12.25,12.416666666666666,0.016653449643140365,0.02564102564102564,Blaming the victim
22,Dependent on the perpetrator,13,13,290,6.866666666666667,241.08333333333334,0.010309278350515464,0.015873015873015872,Dependence on perpetrator
23,I can deal with it,13,13,65,9.833333333333334,23.666666666666664,0.010309278350515464,0.015873015873015872,I can deal with it
8,"Kept from reporting by others (""advised me not to report"")",9,9,40,7.083333333333333,20.333333333333332,0.007137192704203013,0.01098901098901099,Discouraged by others
1,Demotivated by previous cases of reporting,7,7,3,6.5,3.0,0.0055511498810467885,0.008547008547008548,Demotivated by previous cases of reporting
25,OTHER,7,7,1,7.0,1.0,0.0055511498810467885,0.008547008547008548,OTHER
20,"Belief that perpetartor will change (""it won't happen again"")",4,4,114,1.95,23.900000000000002,0.0031720856463124504,0.004884004884004884,Belief perpetrator would change
