motive_family,motive_label,tweets,mean_total_retweets,mean_total_retweets_ci_low,mean_total_retweets_ci_high,median_total_retweets,share_retweeted,mean_survival_span_hours,mean_survival_span_ci_low,mean_survival_span_ci_high,median_survival_span_hours,share_late_after_12h,share_late_after_24h,display_label
15,Invisible violence / lack of physical evidence,56,12.785714285714286,5.873660714285714,21.50044642857143,0.5,0.5,20.852941468253967,8.363004836309523,40.749588665674594,0.034027777777777775,0.2857142857142857,0.21428571428571427,Invisible violence or lack of evidence
18,Perpetrator was a family member,36,9.222222222222221,1.332638888888889,20.558333333333334,0.0,0.4166666666666667,17.111388888888886,3.394336612654321,38.67926929012345,0.0,0.16666666666666666,0.1388888888888889,Perpetrator was family
19,Protection of the family,54,9.87037037037037,3.9069444444444446,17.189814814814813,1.0,0.5555555555555556,14.927031893004115,7.410285236625513,26.165694958847727,0.31569444444444444,0.2962962962962963,0.18518518518518517,Family protection
2,Distrust in institutions,48,11.104166666666666,4.561979166666667,19.272916666666664,0.0,0.4583333333333333,13.140781249999998,7.150104600694444,19.463900896990737,0.0,0.2708333333333333,0.22916666666666666,Distrust in institutions
20,"Belief that perpetartor will change (""it won't happen again"")",4,28.5,0.25,84.25,1.0,0.75,12.966388888888888,0.18520833333333334,38.047916666666666,0.6909722222222222,0.25,0.25,Belief perpetrator would change
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),44,13.568181818181818,1.9539772727272728,31.433522727272727,0.0,0.4318181818181818,10.923497474747476,3.0909992108585858,22.234433869949495,0.0,0.1590909090909091,0.13636363636363635,Gaslighting or self-doubt
4,"""I tought that was normal"" (dismisal/minimizing)",23,8.91304347826087,2.216304347826087,19.006521739130427,0.0,0.391304347826087,10.515024154589371,3.5968131038647346,18.263296799516908,0.0,0.2608695652173913,0.21739130434782608,Experience treated as normal
11,Shame/embarassment,78,7.358974358974359,3.4868589743589746,12.641987179487177,0.0,0.47435897435897434,10.445900997150996,5.924634704415955,16.107755519943016,0.0,0.21794871794871795,0.16666666666666666,Shame or embarrassment
7,Self-blame,98,4.63265306122449,2.306122448979592,7.531377551020408,0.5,0.5,9.957596371882085,5.430450042517006,15.640229662698411,0.00875,0.20408163265306123,0.1326530612244898,Self-blame
6,Fear,155,6.2387096774193544,3.4833870967741936,9.271451612903226,0.0,0.432258064516129,9.880826164874552,4.918643189964158,16.17914511648745,0.0,0.18064516129032257,0.10967741935483871,Fear
5,Lack of knowledge/awarenes that it is violence,266,4.537593984962406,2.800563909774436,6.670112781954886,0.0,0.43609022556390975,8.755088763575605,5.249343958855471,13.188526289682539,0.0,0.15413533834586465,0.10526315789473684,Lack of recognition as violence
22,Dependent on the perpetrator,13,22.307692307692307,1.1538461538461537,55.00384615384615,0.0,0.46153846153846156,8.269358974358974,0.564636217948718,16.424819444444445,0.0,0.23076923076923078,0.15384615384615385,Dependence on perpetrator
8,"Kept from reporting by others (""advised me not to report"")",9,4.444444444444445,0.2222222222222222,11.224999999999996,0.0,0.4444444444444444,7.771913580246913,0.034320987654320984,16.023511574074067,0.0,0.3333333333333333,0.1111111111111111,Discouraged by others
9,Managed to escape/defend,56,5.910714285714286,2.3388392857142857,10.804017857142856,0.5,0.5,6.954970238095238,3.307131076388889,11.601693204365077,0.0044444444444444444,0.16071428571428573,0.125,Escaped or defended oneself
16,"""No one would believe""",50,2.38,0.9395,4.661,1.0,0.52,6.374638888888889,2.5696531944444447,11.400657916666665,0.027222222222222224,0.12,0.1,No one would believe
3,Others minimized victims experience,73,4.3561643835616435,1.4517123287671234,8.659246575342465,0.0,0.3013698630136986,5.5429033485540335,2.5519334094368338,9.894903063165906,0.0,0.136986301369863,0.0958904109589041,Others minimized the experience
12,Lack of support from others,60,5.6,1.7800000000000002,10.667499999999999,0.0,0.2833333333333333,5.5274027777777786,2.4144740740740738,9.237883564814815,0.0,0.15,0.1,Lack of support
14,"Perpetrator was respected, powerfull, influential",62,2.693548387096774,1.2741935483870968,4.34032258064516,0.0,0.46774193548387094,5.1003808243727615,2.624255376344086,7.803118391577059,0.0,0.1774193548387097,0.08064516129032258,Perpetrator status or power
23,I can deal with it,13,5.0,0.07500000000000011,14.540384615384614,0.0,0.23076923076923078,4.233376068376068,0.37352083333333386,10.27395299145299,0.0,0.15384615384615385,0.07692307692307693,I can deal with it
24,Blaming the victim,21,1.5238095238095237,0.19047619047619047,3.9047619047619047,0.0,0.3333333333333333,3.4213624338624338,0.5672539682539681,6.990217923280422,0.0,0.14285714285714285,0.0,Blaming the victim
1,Demotivated by previous cases of reporting,7,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.0,0.42857142857142855,0.2798809523809524,0.022698412698412697,0.722420634920635,0.0,0.0,0.0,Demotivated by previous cases of reporting
25,OTHER,7,0.14285714285714285,0.0,0.42857142857142855,0.0,0.14285714285714285,0.11773809523809524,0.0,0.35321428571428576,0.0,0.0,0.0,OTHER
