motive_family,display_label,unique_tweets,label_assignments,source_fractional_count,retweet_fractional_count,source_share,retweet_share,percentage_point_change,log2_multiplier,amplification_multiplier,log2_ci_low,log2_ci_high,percentage_point_ci_low,percentage_point_ci_high,permutation_p,eligible_main,global_js_observed,global_permutation_p,fdr_q
22,Dependence on perpetrator,13,13,6.866666666666666,241.08333333333334,0.008384208384208383,0.045538974940183864,0.03715476655597548,2.441355337638962,5.4315175445215305,-3.6232367905786855,3.7962265540878537,-0.00714038332649298,0.11902056436001371,,False,0.2544977968648527,0.022297770222977704,
10,Gaslighting or self-doubt,44,44,28.75,460.8333333333333,0.0351037851037851,0.08704823070142301,0.05194444559763791,1.3101883755776242,2.479739163243602,-2.1539638113016744,2.5995879364013117,-0.027460983923808746,0.17765553892179123,0.24127587241275872,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
15,Invisible violence or lack of evidence,56,56,36.75,570.3333333333333,0.044871794871794865,0.10773202367460018,0.06286022880280531,1.263566361058743,2.4008850990027275,0.047610237530547515,2.0382878179196835,0.001551772267514784,0.14024846283663123,0.06309369063093691,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
2,Distrust in institutions,48,48,34.5,430.0,0.04212454212454212,0.08122402720060447,0.03909948507606235,0.9472455549404153,1.9281877761314459,-0.7201308500691792,1.7865165709560598,-0.015757843925122784,0.10694042657948065,0.15958404159584041,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
20,Belief perpetrator would change,4,4,1.95,23.900000000000002,0.0023809523809523807,0.004514544767661504,0.0021335923867091236,0.9230417509777449,1.8961088020414665,-28.185417501733607,3.7530038369261396,-0.00410696289150508,0.011000446419695524,,False,0.2544977968648527,0.022297770222977704,
4,Experience treated as normal,23,23,16.666666666666664,178.16666666666666,0.020350020350020346,0.033654451580405496,0.01330443123038515,0.7257671100633504,1.6537797506289997,-1.5210145183669137,1.878497233408923,-0.012983223977358448,0.05419665517952803,,False,0.2544977968648527,0.022297770222977704,
19,Family protection,54,54,31.283333333333328,261.66666666666663,0.038196988196988184,0.0494270243042438,0.011230036107255613,0.37184116597250644,1.2940031828961607,-0.7212666610118391,1.0936755905514854,-0.01486723039463295,0.04063038389555296,0.6016398360163984,True,0.2544977968648527,0.022297770222977704,0.8422957704229578
18,Perpetrator was family,36,36,19.866666666666667,142.5,0.024257224257224253,0.026917264828107294,0.002660040570883041,0.15011734633819396,1.1096597262146006,-1.980395744282749,1.145868199908047,-0.017548636737061776,0.02827061131546271,0.8695130486951305,True,0.2544977968648527,0.022297770222977704,0.9513048695130487
9,Escaped or defended oneself,56,56,40.583333333333336,273.8333333333333,0.04955229955229955,0.051725223523485714,0.0021729239711861664,0.06191596501211971,1.0438511227687612,-1.4542924710988558,1.01250253233305,-0.03160069808211038,0.051248170351219986,0.930906909309069,True,0.2544977968648527,0.022297770222977704,0.9513048695130487
6,Fear,155,159,111.93333333333332,707.9833333333333,0.13667073667073665,0.13373315703311928,-0.0029375796376173713,-0.03134716924708294,0.9785061549446901,-0.8573821991100681,0.6241684271779269,-0.0626314278287721,0.07317152379382655,0.9463053694630537,True,0.2544977968648527,0.022297770222977704,0.9513048695130487
11,Shame or embarrassment,78,78,43.033333333333346,271.48333333333335,0.05254375254375255,0.05128132477018009,-0.0012624277735724596,-0.035085705697951816,0.975973779708687,-0.9003219429365322,0.5687204905231179,-0.023433132706224026,0.026863972685028232,0.9513048695130487,True,0.2544977968648527,0.022297770222977704,0.9513048695130487
5,Lack of recognition as violence,266,289,198.90000000000003,979.6666666666666,0.24285714285714285,0.18505226042060197,-0.05780488243654089,-0.3921751608687392,0.7619798958505176,-1.087751537890158,0.14010869049316502,-0.13126617856013584,0.0243367886751116,0.21657834216578342,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
7,Self-blame,98,98,63.23333333333334,251.8166666666667,0.0772079772079772,0.04756642740209043,-0.02964154980588677,-0.6988062438481405,0.6160817718918264,-1.6272404749922134,0.032459871538397446,-0.055122217242061594,0.0016595340388294542,0.18238176182381763,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
3,Others minimized the experience,73,74,47.15,180.08333333333334,0.05757020757020756,0.034016496662888814,-0.023553710907318746,-0.7590878474864206,0.5908697935788128,-2.2157596353939835,0.254595778931009,-0.04696268788610429,0.010606934991770902,0.26177382261773824,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
12,Lack of support,60,60,33.53333333333333,115.48333333333335,0.040944240944240935,0.02181400327414684,-0.019130237670094096,-0.9084059867287477,0.5327734199376418,-2.2599483204262185,-0.06419226570206109,-0.03591883326352263,-0.001604317480929997,0.24397560243975602,True,0.2544977968648527,0.022297770222977704,0.40720372407203725
8,Discouraged by others,9,9,7.083333333333333,20.333333333333332,0.008648758648758647,0.003840826092431684,-0.004807932556326963,-1.1710764362203936,0.4440898687280245,-5.744519232253066,0.5755147999540104,-0.01141953141358155,0.00241586456117219,,False,0.2544977968648527,0.022297770222977704,
