hour_idx,hour_start_utc,hour_end_utc,n_retweets,phase_id,phase_label
0,2021-12-25 15:00:00+0000,2021-12-25 16:00:00+0000,12,1,phase_1
1,2021-12-25 16:00:00+0000,2021-12-25 17:00:00+0000,22,1,phase_1
2,2021-12-25 17:00:00+0000,2021-12-25 18:00:00+0000,15,1,phase_1
3,2021-12-25 18:00:00+0000,2021-12-25 19:00:00+0000,18,1,phase_1
4,2021-12-25 19:00:00+0000,2021-12-25 20:00:00+0000,4,1,phase_1
5,2021-12-25 20:00:00+0000,2021-12-25 21:00:00+0000,18,1,phase_1
6,2021-12-25 21:00:00+0000,2021-12-25 22:00:00+0000,47,1,phase_1
7,2021-12-25 22:00:00+0000,2021-12-25 23:00:00+0000,69,1,phase_1
8,2021-12-25 23:00:00+0000,2021-12-26 00:00:00+0000,60,1,phase_1
9,2021-12-26 00:00:00+0000,2021-12-26 01:00:00+0000,87,1,phase_1
10,2021-12-26 01:00:00+0000,2021-12-26 02:00:00+0000,60,1,phase_1
11,2021-12-26 02:00:00+0000,2021-12-26 03:00:00+0000,38,1,phase_1
12,2021-12-26 03:00:00+0000,2021-12-26 04:00:00+0000,17,1,phase_1
13,2021-12-26 04:00:00+0000,2021-12-26 05:00:00+0000,7,1,phase_1
14,2021-12-26 05:00:00+0000,2021-12-26 06:00:00+0000,13,1,phase_1
15,2021-12-26 06:00:00+0000,2021-12-26 07:00:00+0000,42,1,phase_1
16,2021-12-26 07:00:00+0000,2021-12-26 08:00:00+0000,134,1,phase_1
17,2021-12-26 08:00:00+0000,2021-12-26 09:00:00+0000,297,2,phase_2
18,2021-12-26 09:00:00+0000,2021-12-26 10:00:00+0000,466,2,phase_2
19,2021-12-26 10:00:00+0000,2021-12-26 11:00:00+0000,540,2,phase_2
20,2021-12-26 11:00:00+0000,2021-12-26 12:00:00+0000,879,2,phase_2
21,2021-12-26 12:00:00+0000,2021-12-26 13:00:00+0000,1105,2,phase_2
22,2021-12-26 13:00:00+0000,2021-12-26 14:00:00+0000,889,2,phase_2
23,2021-12-26 14:00:00+0000,2021-12-26 15:00:00+0000,894,2,phase_2
24,2021-12-26 15:00:00+0000,2021-12-26 16:00:00+0000,1195,2,phase_2
25,2021-12-26 16:00:00+0000,2021-12-26 17:00:00+0000,866,2,phase_2
26,2021-12-26 17:00:00+0000,2021-12-26 18:00:00+0000,721,2,phase_2
27,2021-12-26 18:00:00+0000,2021-12-26 19:00:00+0000,653,2,phase_2
28,2021-12-26 19:00:00+0000,2021-12-26 20:00:00+0000,538,2,phase_2
29,2021-12-26 20:00:00+0000,2021-12-26 21:00:00+0000,563,2,phase_2
30,2021-12-26 21:00:00+0000,2021-12-26 22:00:00+0000,574,2,phase_2
31,2021-12-26 22:00:00+0000,2021-12-26 23:00:00+0000,590,2,phase_2
32,2021-12-26 23:00:00+0000,2021-12-27 00:00:00+0000,420,3,phase_3
33,2021-12-27 00:00:00+0000,2021-12-27 01:00:00+0000,358,3,phase_3
34,2021-12-27 01:00:00+0000,2021-12-27 02:00:00+0000,205,3,phase_3
35,2021-12-27 02:00:00+0000,2021-12-27 03:00:00+0000,108,3,phase_3
36,2021-12-27 03:00:00+0000,2021-12-27 04:00:00+0000,32,3,phase_3
37,2021-12-27 04:00:00+0000,2021-12-27 05:00:00+0000,48,3,phase_3
38,2021-12-27 05:00:00+0000,2021-12-27 06:00:00+0000,80,3,phase_3
39,2021-12-27 06:00:00+0000,2021-12-27 07:00:00+0000,129,3,phase_3
40,2021-12-27 07:00:00+0000,2021-12-27 08:00:00+0000,212,3,phase_3
41,2021-12-27 08:00:00+0000,2021-12-27 09:00:00+0000,298,3,phase_3
42,2021-12-27 09:00:00+0000,2021-12-27 10:00:00+0000,286,3,phase_3
43,2021-12-27 10:00:00+0000,2021-12-27 11:00:00+0000,304,3,phase_3
44,2021-12-27 11:00:00+0000,2021-12-27 12:00:00+0000,308,3,phase_3
45,2021-12-27 12:00:00+0000,2021-12-27 13:00:00+0000,464,3,phase_3
46,2021-12-27 13:00:00+0000,2021-12-27 14:00:00+0000,363,3,phase_3
47,2021-12-27 14:00:00+0000,2021-12-27 15:00:00+0000,239,3,phase_3
48,2021-12-27 15:00:00+0000,2021-12-27 16:00:00+0000,238,3,phase_3
49,2021-12-27 16:00:00+0000,2021-12-27 17:00:00+0000,293,3,phase_3
50,2021-12-27 17:00:00+0000,2021-12-27 18:00:00+0000,270,3,phase_3
51,2021-12-27 18:00:00+0000,2021-12-27 19:00:00+0000,255,3,phase_3
52,2021-12-27 19:00:00+0000,2021-12-27 20:00:00+0000,330,3,phase_3
53,2021-12-27 20:00:00+0000,2021-12-27 21:00:00+0000,200,3,phase_3
54,2021-12-27 21:00:00+0000,2021-12-27 22:00:00+0000,145,3,phase_3
55,2021-12-27 22:00:00+0000,2021-12-27 23:00:00+0000,177,3,phase_3
56,2021-12-27 23:00:00+0000,2021-12-28 00:00:00+0000,160,3,phase_3
57,2021-12-28 00:00:00+0000,2021-12-28 01:00:00+0000,89,4,phase_4
58,2021-12-28 01:00:00+0000,2021-12-28 02:00:00+0000,71,4,phase_4
59,2021-12-28 02:00:00+0000,2021-12-28 03:00:00+0000,31,4,phase_4
60,2021-12-28 03:00:00+0000,2021-12-28 04:00:00+0000,12,4,phase_4
61,2021-12-28 04:00:00+0000,2021-12-28 05:00:00+0000,12,4,phase_4
62,2021-12-28 05:00:00+0000,2021-12-28 06:00:00+0000,17,4,phase_4
63,2021-12-28 06:00:00+0000,2021-12-28 07:00:00+0000,65,4,phase_4
64,2021-12-28 07:00:00+0000,2021-12-28 08:00:00+0000,88,4,phase_4
65,2021-12-28 08:00:00+0000,2021-12-28 09:00:00+0000,110,4,phase_4
66,2021-12-28 09:00:00+0000,2021-12-28 10:00:00+0000,108,4,phase_4
67,2021-12-28 10:00:00+0000,2021-12-28 11:00:00+0000,87,4,phase_4
68,2021-12-28 11:00:00+0000,2021-12-28 12:00:00+0000,80,4,phase_4
69,2021-12-28 12:00:00+0000,2021-12-28 13:00:00+0000,53,4,phase_4
70,2021-12-28 13:00:00+0000,2021-12-28 14:00:00+0000,37,4,phase_4
71,2021-12-28 14:00:00+0000,2021-12-28 15:00:00+0000,32,4,phase_4
72,2021-12-28 15:00:00+0000,2021-12-28 16:00:00+0000,55,4,phase_4
73,2021-12-28 16:00:00+0000,2021-12-28 17:00:00+0000,39,4,phase_4
74,2021-12-28 17:00:00+0000,2021-12-28 18:00:00+0000,44,4,phase_4
75,2021-12-28 18:00:00+0000,2021-12-28 19:00:00+0000,42,4,phase_4
76,2021-12-28 19:00:00+0000,2021-12-28 20:00:00+0000,33,4,phase_4
77,2021-12-28 20:00:00+0000,2021-12-28 21:00:00+0000,31,4,phase_4
78,2021-12-28 21:00:00+0000,2021-12-28 22:00:00+0000,39,4,phase_4
79,2021-12-28 22:00:00+0000,2021-12-28 23:00:00+0000,30,4,phase_4
80,2021-12-28 23:00:00+0000,2021-12-29 00:00:00+0000,37,4,phase_4
81,2021-12-29 00:00:00+0000,2021-12-29 01:00:00+0000,19,5,phase_5
82,2021-12-29 01:00:00+0000,2021-12-29 02:00:00+0000,14,5,phase_5
83,2021-12-29 02:00:00+0000,2021-12-29 03:00:00+0000,4,5,phase_5
84,2021-12-29 03:00:00+0000,2021-12-29 04:00:00+0000,2,5,phase_5
85,2021-12-29 04:00:00+0000,2021-12-29 05:00:00+0000,5,5,phase_5
86,2021-12-29 05:00:00+0000,2021-12-29 06:00:00+0000,2,5,phase_5
87,2021-12-29 06:00:00+0000,2021-12-29 07:00:00+0000,8,5,phase_5
88,2021-12-29 07:00:00+0000,2021-12-29 08:00:00+0000,19,5,phase_5
89,2021-12-29 08:00:00+0000,2021-12-29 09:00:00+0000,28,5,phase_5
90,2021-12-29 09:00:00+0000,2021-12-29 10:00:00+0000,20,5,phase_5
91,2021-12-29 10:00:00+0000,2021-12-29 11:00:00+0000,41,5,phase_5
92,2021-12-29 11:00:00+0000,2021-12-29 12:00:00+0000,45,5,phase_5
93,2021-12-29 12:00:00+0000,2021-12-29 13:00:00+0000,28,5,phase_5
94,2021-12-29 13:00:00+0000,2021-12-29 14:00:00+0000,25,5,phase_5
95,2021-12-29 14:00:00+0000,2021-12-29 15:00:00+0000,32,5,phase_5
96,2021-12-29 15:00:00+0000,2021-12-29 16:00:00+0000,23,5,phase_5
97,2021-12-29 16:00:00+0000,2021-12-29 17:00:00+0000,43,5,phase_5
98,2021-12-29 17:00:00+0000,2021-12-29 18:00:00+0000,29,5,phase_5
99,2021-12-29 18:00:00+0000,2021-12-29 19:00:00+0000,31,5,phase_5
100,2021-12-29 19:00:00+0000,2021-12-29 20:00:00+0000,18,5,phase_5
101,2021-12-29 20:00:00+0000,2021-12-29 21:00:00+0000,18,5,phase_5
102,2021-12-29 21:00:00+0000,2021-12-29 22:00:00+0000,9,5,phase_5
103,2021-12-29 22:00:00+0000,2021-12-29 23:00:00+0000,17,5,phase_5
104,2021-12-29 23:00:00+0000,2021-12-30 00:00:00+0000,4,5,phase_5
105,2021-12-30 00:00:00+0000,2021-12-30 01:00:00+0000,12,5,phase_5
106,2021-12-30 01:00:00+0000,2021-12-30 02:00:00+0000,7,5,phase_5
107,2021-12-30 02:00:00+0000,2021-12-30 03:00:00+0000,9,5,phase_5
108,2021-12-30 03:00:00+0000,2021-12-30 04:00:00+0000,6,5,phase_5
109,2021-12-30 04:00:00+0000,2021-12-30 05:00:00+0000,1,5,phase_5
110,2021-12-30 05:00:00+0000,2021-12-30 06:00:00+0000,8,5,phase_5
111,2021-12-30 06:00:00+0000,2021-12-30 07:00:00+0000,8,5,phase_5
112,2021-12-30 07:00:00+0000,2021-12-30 08:00:00+0000,16,5,phase_5
113,2021-12-30 08:00:00+0000,2021-12-30 09:00:00+0000,17,5,phase_5
114,2021-12-30 09:00:00+0000,2021-12-30 10:00:00+0000,16,5,phase_5
115,2021-12-30 10:00:00+0000,2021-12-30 11:00:00+0000,14,5,phase_5
116,2021-12-30 11:00:00+0000,2021-12-30 12:00:00+0000,11,5,phase_5
117,2021-12-30 12:00:00+0000,2021-12-30 13:00:00+0000,8,5,phase_5
118,2021-12-30 13:00:00+0000,2021-12-30 14:00:00+0000,18,5,phase_5
119,2021-12-30 14:00:00+0000,2021-12-30 15:00:00+0000,16,5,phase_5
120,2021-12-30 15:00:00+0000,2021-12-30 16:00:00+0000,11,5,phase_5
121,2021-12-30 16:00:00+0000,2021-12-30 17:00:00+0000,5,6,phase_6
122,2021-12-30 17:00:00+0000,2021-12-30 18:00:00+0000,9,6,phase_6
123,2021-12-30 18:00:00+0000,2021-12-30 19:00:00+0000,6,6,phase_6
124,2021-12-30 19:00:00+0000,2021-12-30 20:00:00+0000,7,6,phase_6
125,2021-12-30 20:00:00+0000,2021-12-30 21:00:00+0000,7,6,phase_6
126,2021-12-30 21:00:00+0000,2021-12-30 22:00:00+0000,8,6,phase_6
127,2021-12-30 22:00:00+0000,2021-12-30 23:00:00+0000,7,6,phase_6
128,2021-12-30 23:00:00+0000,2021-12-31 00:00:00+0000,5,6,phase_6
129,2021-12-31 00:00:00+0000,2021-12-31 01:00:00+0000,6,6,phase_6
130,2021-12-31 01:00:00+0000,2021-12-31 02:00:00+0000,1,6,phase_6
131,2021-12-31 02:00:00+0000,2021-12-31 03:00:00+0000,3,6,phase_6
132,2021-12-31 03:00:00+0000,2021-12-31 04:00:00+0000,0,6,phase_6
133,2021-12-31 04:00:00+0000,2021-12-31 05:00:00+0000,2,6,phase_6
