post_type,bin_start_utc,emotion_group,n,bin_total,percent
post,2021-12-25 15:00:00+00:00,fear,1,5,20.0
post,2021-12-25 15:00:00+00:00,sadness,4,5,80.0
post,2021-12-25 18:00:00+00:00,Other,1,4,25.0
post,2021-12-25 18:00:00+00:00,anger,2,4,50.0
post,2021-12-25 18:00:00+00:00,sadness,1,4,25.0
post,2021-12-25 21:00:00+00:00,Other,13,38,34.21052631578947
post,2021-12-25 21:00:00+00:00,anger,5,38,13.157894736842104
post,2021-12-25 21:00:00+00:00,disgust,5,38,13.157894736842104
post,2021-12-25 21:00:00+00:00,fear,5,38,13.157894736842104
post,2021-12-25 21:00:00+00:00,sadness,10,38,26.31578947368421
post,2021-12-26 00:00:00+00:00,Other,13,42,30.952380952380953
post,2021-12-26 00:00:00+00:00,anger,6,42,14.285714285714286
post,2021-12-26 00:00:00+00:00,disgust,1,42,2.380952380952381
post,2021-12-26 00:00:00+00:00,fear,6,42,14.285714285714286
post,2021-12-26 00:00:00+00:00,sadness,16,42,38.095238095238095
post,2021-12-26 03:00:00+00:00,Other,2,12,16.666666666666668
post,2021-12-26 03:00:00+00:00,anger,4,12,33.333333333333336
post,2021-12-26 03:00:00+00:00,disgust,1,12,8.333333333333334
post,2021-12-26 03:00:00+00:00,fear,1,12,8.333333333333334
post,2021-12-26 03:00:00+00:00,sadness,4,12,33.333333333333336
post,2021-12-26 06:00:00+00:00,Other,23,93,24.731182795698924
post,2021-12-26 06:00:00+00:00,anger,24,93,25.806451612903224
post,2021-12-26 06:00:00+00:00,disgust,5,93,5.376344086021505
post,2021-12-26 06:00:00+00:00,fear,8,93,8.602150537634408
post,2021-12-26 06:00:00+00:00,sadness,33,93,35.483870967741936
post,2021-12-26 09:00:00+00:00,Other,80,349,22.922636103151863
post,2021-12-26 09:00:00+00:00,anger,68,349,19.484240687679083
post,2021-12-26 09:00:00+00:00,disgust,38,349,10.888252148997134
post,2021-12-26 09:00:00+00:00,fear,20,349,5.730659025787966
post,2021-12-26 09:00:00+00:00,sadness,143,349,40.97421203438395
post,2021-12-26 12:00:00+00:00,Other,129,507,25.443786982248522
post,2021-12-26 12:00:00+00:00,anger,115,507,22.682445759368836
post,2021-12-26 12:00:00+00:00,disgust,54,507,10.650887573964496
post,2021-12-26 12:00:00+00:00,fear,54,507,10.650887573964496
post,2021-12-26 12:00:00+00:00,sadness,155,507,30.57199211045365
post,2021-12-26 15:00:00+00:00,Other,86,400,21.5
post,2021-12-26 15:00:00+00:00,anger,91,400,22.75
post,2021-12-26 15:00:00+00:00,disgust,45,400,11.25
post,2021-12-26 15:00:00+00:00,fear,42,400,10.5
post,2021-12-26 15:00:00+00:00,sadness,136,400,34.0
post,2021-12-26 18:00:00+00:00,Other,85,357,23.80952380952381
post,2021-12-26 18:00:00+00:00,anger,84,357,23.529411764705884
post,2021-12-26 18:00:00+00:00,disgust,48,357,13.445378151260504
post,2021-12-26 18:00:00+00:00,fear,24,357,6.722689075630252
post,2021-12-26 18:00:00+00:00,sadness,116,357,32.49299719887955
post,2021-12-26 21:00:00+00:00,Other,82,291,28.1786941580756
post,2021-12-26 21:00:00+00:00,anger,70,291,24.054982817869416
post,2021-12-26 21:00:00+00:00,disgust,36,291,12.371134020618557
post,2021-12-26 21:00:00+00:00,fear,21,291,7.216494845360825
post,2021-12-26 21:00:00+00:00,sadness,82,291,28.1786941580756
post,2021-12-27 00:00:00+00:00,Other,23,93,24.731182795698924
post,2021-12-27 00:00:00+00:00,anger,21,93,22.580645161290324
post,2021-12-27 00:00:00+00:00,disgust,16,93,17.204301075268816
post,2021-12-27 00:00:00+00:00,fear,8,93,8.602150537634408
post,2021-12-27 00:00:00+00:00,sadness,25,93,26.881720430107528
post,2021-12-27 03:00:00+00:00,Other,6,31,19.35483870967742
post,2021-12-27 03:00:00+00:00,anger,5,31,16.129032258064516
post,2021-12-27 03:00:00+00:00,disgust,7,31,22.580645161290324
post,2021-12-27 03:00:00+00:00,fear,4,31,12.903225806451612
post,2021-12-27 03:00:00+00:00,sadness,9,31,29.032258064516128
post,2021-12-27 06:00:00+00:00,Other,29,130,22.307692307692307
post,2021-12-27 06:00:00+00:00,anger,30,130,23.076923076923077
post,2021-12-27 06:00:00+00:00,disgust,25,130,19.23076923076923
post,2021-12-27 06:00:00+00:00,fear,13,130,10.0
post,2021-12-27 06:00:00+00:00,sadness,33,130,25.384615384615383
post,2021-12-27 09:00:00+00:00,Other,58,200,29.0
post,2021-12-27 09:00:00+00:00,anger,58,200,29.0
post,2021-12-27 09:00:00+00:00,disgust,29,200,14.5
post,2021-12-27 09:00:00+00:00,fear,13,200,6.5
post,2021-12-27 09:00:00+00:00,sadness,42,200,21.0
post,2021-12-27 12:00:00+00:00,Other,49,171,28.65497076023392
post,2021-12-27 12:00:00+00:00,anger,49,171,28.65497076023392
post,2021-12-27 12:00:00+00:00,disgust,24,171,14.035087719298245
post,2021-12-27 12:00:00+00:00,fear,12,171,7.017543859649122
post,2021-12-27 12:00:00+00:00,sadness,37,171,21.637426900584796
post,2021-12-27 15:00:00+00:00,Other,46,147,31.292517006802722
post,2021-12-27 15:00:00+00:00,anger,28,147,19.047619047619047
post,2021-12-27 15:00:00+00:00,disgust,28,147,19.047619047619047
post,2021-12-27 15:00:00+00:00,fear,10,147,6.802721088435374
post,2021-12-27 15:00:00+00:00,sadness,35,147,23.80952380952381
post,2021-12-27 18:00:00+00:00,Other,27,117,23.076923076923077
post,2021-12-27 18:00:00+00:00,anger,29,117,24.786324786324787
post,2021-12-27 18:00:00+00:00,disgust,20,117,17.094017094017094
post,2021-12-27 18:00:00+00:00,fear,9,117,7.6923076923076925
post,2021-12-27 18:00:00+00:00,sadness,32,117,27.35042735042735
post,2021-12-27 21:00:00+00:00,Other,16,91,17.582417582417584
post,2021-12-27 21:00:00+00:00,anger,22,91,24.175824175824175
post,2021-12-27 21:00:00+00:00,disgust,22,91,24.175824175824175
post,2021-12-27 21:00:00+00:00,fear,4,91,4.395604395604396
post,2021-12-27 21:00:00+00:00,sadness,27,91,29.67032967032967
post,2021-12-28 00:00:00+00:00,Other,3,27,11.11111111111111
post,2021-12-28 00:00:00+00:00,anger,12,27,44.44444444444444
post,2021-12-28 00:00:00+00:00,disgust,3,27,11.11111111111111
post,2021-12-28 00:00:00+00:00,fear,3,27,11.11111111111111
post,2021-12-28 00:00:00+00:00,sadness,6,27,22.22222222222222
post,2021-12-28 03:00:00+00:00,Other,4,14,28.571428571428573
post,2021-12-28 03:00:00+00:00,anger,4,14,28.571428571428573
post,2021-12-28 03:00:00+00:00,disgust,3,14,21.428571428571427
post,2021-12-28 03:00:00+00:00,sadness,3,14,21.428571428571427
post,2021-12-28 06:00:00+00:00,Other,10,68,14.705882352941176
post,2021-12-28 06:00:00+00:00,anger,23,68,33.8235294117647
post,2021-12-28 06:00:00+00:00,disgust,12,68,17.647058823529413
post,2021-12-28 06:00:00+00:00,fear,5,68,7.352941176470588
post,2021-12-28 06:00:00+00:00,sadness,18,68,26.470588235294116
post,2021-12-28 09:00:00+00:00,Other,25,75,33.333333333333336
post,2021-12-28 09:00:00+00:00,anger,19,75,25.333333333333332
post,2021-12-28 09:00:00+00:00,disgust,12,75,16.0
post,2021-12-28 09:00:00+00:00,fear,5,75,6.666666666666667
post,2021-12-28 09:00:00+00:00,sadness,14,75,18.666666666666668
post,2021-12-28 12:00:00+00:00,Other,11,41,26.829268292682926
post,2021-12-28 12:00:00+00:00,anger,5,41,12.195121951219512
post,2021-12-28 12:00:00+00:00,disgust,7,41,17.073170731707318
post,2021-12-28 12:00:00+00:00,fear,7,41,17.073170731707318
post,2021-12-28 12:00:00+00:00,sadness,11,41,26.829268292682926
post,2021-12-28 15:00:00+00:00,Other,8,27,29.62962962962963
post,2021-12-28 15:00:00+00:00,anger,7,27,25.925925925925927
post,2021-12-28 15:00:00+00:00,disgust,4,27,14.814814814814815
post,2021-12-28 15:00:00+00:00,fear,1,27,3.7037037037037037
post,2021-12-28 15:00:00+00:00,sadness,7,27,25.925925925925927
post,2021-12-28 18:00:00+00:00,Other,14,43,32.55813953488372
post,2021-12-28 18:00:00+00:00,anger,11,43,25.58139534883721
post,2021-12-28 18:00:00+00:00,disgust,4,43,9.30232558139535
post,2021-12-28 18:00:00+00:00,fear,2,43,4.651162790697675
post,2021-12-28 18:00:00+00:00,sadness,12,43,27.906976744186046
post,2021-12-28 21:00:00+00:00,Other,14,45,31.11111111111111
post,2021-12-28 21:00:00+00:00,anger,11,45,24.444444444444443
post,2021-12-28 21:00:00+00:00,disgust,5,45,11.11111111111111
post,2021-12-28 21:00:00+00:00,fear,4,45,8.88888888888889
post,2021-12-28 21:00:00+00:00,sadness,11,45,24.444444444444443
post,2021-12-29 00:00:00+00:00,Other,1,9,11.11111111111111
post,2021-12-29 00:00:00+00:00,anger,2,9,22.22222222222222
post,2021-12-29 00:00:00+00:00,disgust,3,9,33.333333333333336
post,2021-12-29 00:00:00+00:00,fear,3,9,33.333333333333336
post,2021-12-29 03:00:00+00:00,Other,3,6,50.0
post,2021-12-29 03:00:00+00:00,anger,1,6,16.666666666666668
post,2021-12-29 03:00:00+00:00,sadness,2,6,33.333333333333336
post,2021-12-29 06:00:00+00:00,Other,10,21,47.61904761904762
post,2021-12-29 06:00:00+00:00,anger,2,21,9.523809523809524
post,2021-12-29 06:00:00+00:00,disgust,3,21,14.285714285714286
post,2021-12-29 06:00:00+00:00,sadness,6,21,28.571428571428573
post,2021-12-29 09:00:00+00:00,Other,7,28,25.0
post,2021-12-29 09:00:00+00:00,anger,10,28,35.714285714285715
post,2021-12-29 09:00:00+00:00,disgust,6,28,21.428571428571427
post,2021-12-29 09:00:00+00:00,fear,1,28,3.5714285714285716
post,2021-12-29 09:00:00+00:00,sadness,4,28,14.285714285714286
post,2021-12-29 12:00:00+00:00,Other,9,36,25.0
post,2021-12-29 12:00:00+00:00,anger,9,36,25.0
post,2021-12-29 12:00:00+00:00,disgust,5,36,13.88888888888889
post,2021-12-29 12:00:00+00:00,fear,3,36,8.333333333333334
post,2021-12-29 12:00:00+00:00,sadness,10,36,27.77777777777778
post,2021-12-29 15:00:00+00:00,Other,8,33,24.242424242424242
post,2021-12-29 15:00:00+00:00,anger,16,33,48.484848484848484
post,2021-12-29 15:00:00+00:00,disgust,4,33,12.121212121212121
post,2021-12-29 15:00:00+00:00,sadness,5,33,15.151515151515152
post,2021-12-29 18:00:00+00:00,Other,3,22,13.636363636363637
post,2021-12-29 18:00:00+00:00,anger,11,22,50.0
post,2021-12-29 18:00:00+00:00,disgust,1,22,4.545454545454546
post,2021-12-29 18:00:00+00:00,fear,3,22,13.636363636363637
post,2021-12-29 18:00:00+00:00,sadness,4,22,18.181818181818183
post,2021-12-29 21:00:00+00:00,Other,4,22,18.181818181818183
post,2021-12-29 21:00:00+00:00,anger,10,22,45.45454545454545
post,2021-12-29 21:00:00+00:00,disgust,1,22,4.545454545454546
post,2021-12-29 21:00:00+00:00,fear,4,22,18.181818181818183
post,2021-12-29 21:00:00+00:00,sadness,3,22,13.636363636363637
post,2021-12-30 00:00:00+00:00,Other,1,7,14.285714285714286
post,2021-12-30 00:00:00+00:00,anger,2,7,28.571428571428573
post,2021-12-30 00:00:00+00:00,disgust,2,7,28.571428571428573
post,2021-12-30 00:00:00+00:00,sadness,2,7,28.571428571428573
post,2021-12-30 03:00:00+00:00,Other,1,4,25.0
post,2021-12-30 03:00:00+00:00,anger,1,4,25.0
post,2021-12-30 03:00:00+00:00,fear,1,4,25.0
post,2021-12-30 03:00:00+00:00,sadness,1,4,25.0
post,2021-12-30 06:00:00+00:00,Other,2,6,33.333333333333336
post,2021-12-30 06:00:00+00:00,anger,3,6,50.0
post,2021-12-30 06:00:00+00:00,sadness,1,6,16.666666666666668
post,2021-12-30 09:00:00+00:00,Other,1,8,12.5
post,2021-12-30 09:00:00+00:00,anger,5,8,62.5
post,2021-12-30 09:00:00+00:00,sadness,2,8,25.0
post,2021-12-30 12:00:00+00:00,Other,1,9,11.11111111111111
post,2021-12-30 12:00:00+00:00,anger,4,9,44.44444444444444
post,2021-12-30 12:00:00+00:00,disgust,2,9,22.22222222222222
post,2021-12-30 12:00:00+00:00,sadness,2,9,22.22222222222222
post,2021-12-30 15:00:00+00:00,Other,4,15,26.666666666666668
post,2021-12-30 15:00:00+00:00,anger,3,15,20.0
post,2021-12-30 15:00:00+00:00,disgust,2,15,13.333333333333334
post,2021-12-30 15:00:00+00:00,fear,2,15,13.333333333333334
post,2021-12-30 15:00:00+00:00,sadness,4,15,26.666666666666668
post,2021-12-30 18:00:00+00:00,Other,1,6,16.666666666666668
post,2021-12-30 18:00:00+00:00,anger,3,6,50.0
post,2021-12-30 18:00:00+00:00,sadness,2,6,33.333333333333336
post,2021-12-30 21:00:00+00:00,Other,1,4,25.0
post,2021-12-30 21:00:00+00:00,anger,1,4,25.0
