phase_id,phase_label,metric_order,metric,metric_label,n_institutional,institutional_median_value,institutional_mean_value,institutional_median_percentile,n_regular,regular_median_value,regular_mean_value,regular_median_percentile,n_phase1_authors,phase1_median_value,phase1_mean_value,phase1_median_percentile,institutional_minus_regular_percentile,institutional_minus_phase1_percentile,institutional_vs_regular_mean_ratio,institutional_vs_phase1_mean_ratio
2,phase_2,1,in_strength,Retweets received,61,1.0,6.262295,81.53,6024,0.0,2.73672,0.0,73,14.0,38.506849,96.86,81.53,-15.33,2.2882,0.1626
2,phase_2,2,pagerank,PageRank,61,7.6e-05,0.000564,84.76,5943,7.3e-05,0.000162,0.0,72,0.000286,0.001121,95.39,84.76,-10.63,3.4783,0.5031
2,phase_2,3,out_strength,Retweets made,61,1.0,1.852459,10.47,6024,1.0,2.781375,10.47,73,1.0,6.821918,10.47,0.0,0.0,0.666,0.2715
2,phase_2,4,in_degree,Unique retweeters,61,1.0,5.901639,81.53,6024,0.0,2.607238,0.0,73,14.0,36.136986,96.93,81.53,-15.4,2.2636,0.1633
3,phase_3,1,in_strength,Retweets received,37,1.0,2.027027,79.69,1588,0.0,1.160579,0.0,33,1.0,1.757576,79.69,79.69,0.0,1.7466,1.1533
3,phase_3,2,pagerank,PageRank,36,0.000574,0.000787,85.54,1520,0.000351,0.000639,0.0,31,0.00045,0.000621,83.35,85.54,2.19,1.2316,1.2665
3,phase_3,3,out_strength,Retweets made,37,0.0,0.459459,0.0,1588,1.0,1.197103,17.42,33,0.0,1.090909,0.0,-17.42,0.0,0.3838,0.4212
3,phase_3,4,in_degree,Unique retweeters,37,1.0,2.0,79.69,1588,0.0,1.121537,0.0,33,1.0,1.757576,79.69,79.69,0.0,1.7833,1.1379
4,phase_4,1,in_strength,Retweets received,18,1.0,2.444444,80.95,486,0.0,0.925926,0.0,7,0.0,2.0,0.0,80.95,80.95,2.64,1.2222
4,phase_4,2,pagerank,PageRank,18,0.001454,0.002685,86.69,474,0.001093,0.001874,0.0,7,0.001093,0.002199,0.0,86.69,86.69,1.4329,1.2207
4,phase_4,3,out_strength,Retweets made,18,0.0,0.222222,0.0,486,1.0,1.00823,17.26,7,1.0,1.428571,17.26,-17.26,-17.26,0.2204,0.1556
4,phase_4,4,in_degree,Unique retweeters,18,1.0,2.388889,80.95,486,0.0,0.886831,0.0,7,0.0,1.571429,0.0,80.95,80.95,2.6937,1.5202
5,phase_5,1,in_strength,Retweets received,2,0.0,0.0,0.0,303,0.0,1.016502,0.0,6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0
5,phase_5,2,pagerank,PageRank,2,0.001829,0.001829,0.0,298,0.001829,0.003325,0.0,6,0.001829,0.002659,0.0,0.0,0.0,0.5502,0.6881
5,phase_5,3,out_strength,Retweets made,2,1.0,1.0,9.18,303,1.0,1.009901,9.18,6,1.0,0.666667,9.18,0.0,0.0,0.9902,1.5
5,phase_5,4,in_degree,Unique retweeters,2,0.0,0.0,0.0,303,0.0,1.016502,0.0,6,0.0,0.666667,0.0,0.0,0.0,0.0,0.0
6,phase_6,1,in_strength,Retweets received,3,3.0,4.333333,94.28,294,0.0,0.982993,0.0,10,0.0,0.2,0.0,94.28,94.28,4.4083,21.6667
6,phase_6,2,pagerank,PageRank,3,0.005782,0.006705,94.14,287,0.001629,0.003414,0.0,10,0.001629,0.001836,0.0,94.14,94.14,1.9638,3.6512
6,phase_6,3,out_strength,Retweets made,3,1.0,1.0,9.09,294,1.0,1.017007,9.09,10,1.0,0.8,9.09,0.0,0.0,0.9833,1.25
6,phase_6,4,in_degree,Unique retweeters,3,3.0,4.333333,94.28,294,0.0,0.921769,0.0,10,0.0,0.2,0.0,94.28,94.28,4.7011,21.6667
