phase_group,emotion,n,model,group_n,share,wilson_low,wilson_high
phase 1,sadness,24,gemma,45,0.5333333333333333,0.3907720886241046,0.6706509605798527
phase 1,anger,4,gemma,45,0.08888888888888889,0.035110548134203154,0.20733851168365702
phase 1,fear,12,gemma,45,0.26666666666666666,0.15964748860054623,0.4103911669717528
phase 1,disgust,3,gemma,45,0.06666666666666667,0.022931616462147086,0.17856874388640825
phase 1,Other,2,gemma,45,0.044444444444444446,0.012273869040444335,0.14827779183880616
phase 2,sadness,467,gemma,1002,0.4660678642714571,0.4353682277970744,0.4970266940275946
phase 2,anger,170,gemma,1002,0.16966067864271456,0.14769223623355113,0.19415244388307948
phase 2,fear,184,gemma,1002,0.18363273453093812,0.1608823947085087,0.20879967053914059
phase 2,disgust,101,gemma,1002,0.10079840319361277,0.08365497724134198,0.12099116187241112
phase 2,Other,80,gemma,1002,0.07984031936127745,0.06461760068235646,0.09827246073486869
phase 3,sadness,58,gemma,145,0.4,0.3238341968911917,0.48132780082987553
phase 3,anger,25,gemma,145,0.1724137931034483,0.11959690383831326,0.2421406749031139
phase 3,fear,31,gemma,145,0.21379310344827587,0.15490148025035644,0.2874587201237325
phase 3,disgust,22,gemma,145,0.15172413793103448,0.10238090565795917,0.21904536226713706
phase 3,Other,9,gemma,145,0.06206896551724138,0.03299470764785982,0.11374921340646905
phases 4-6,sadness,6,gemma,18,0.3333333333333333,0.1627855436366286,0.5625093065574964
phases 4-6,anger,5,gemma,18,0.2777777777777778,0.12499569146355474,0.5087307754619452
phases 4-6,fear,2,gemma,18,0.1111111111111111,0.031018868453582787,0.3280024486660421
phases 4-6,disgust,2,gemma,18,0.1111111111111111,0.031018868453582787,0.3280024486660421
phases 4-6,Other,3,gemma,18,0.16666666666666666,0.05836470400465757,0.39222499638359243
phase 1,sadness,22,gpt,45,0.4888888888888889,0.3495678935302451,0.6299577567351026
phase 1,anger,2,gpt,45,0.044444444444444446,0.012273869040444335,0.14827779183880616
phase 1,fear,17,gpt,45,0.37777777777777777,0.25107885298349863,0.5237032999353246
phase 1,disgust,1,gpt,45,0.022222222222222223,0.003933497522757505,0.11566946388718813
phase 1,Other,3,gpt,45,0.06666666666666667,0.022931616462147086,0.17856874388640825
phase 2,sadness,422,gpt,1002,0.42115768463073855,0.39094369752831204,0.4519739149466543
phase 2,anger,127,gpt,1002,0.12674650698602793,0.10756240841283017,0.1487817316585289
phase 2,fear,345,gpt,1002,0.344311377245509,0.315535938694187,0.3742760555601767
phase 2,disgust,48,gpt,1002,0.04790419161676647,0.03632009664384736,0.06294165590247802
phase 2,Other,60,gpt,1002,0.059880239520958084,0.04680208796057704,0.07632028041233574
phase 3,sadness,58,gpt,145,0.4,0.3238341968911917,0.48132780082987553
phase 3,anger,29,gpt,145,0.2,0.14301624652479306,0.2724697466384086
phase 3,fear,43,gpt,145,0.296551724137931,0.22823803121969663,0.37536741241971583
phase 3,disgust,7,gpt,145,0.04827586206896552,0.023578565673748914,0.09629114816969268
phase 3,Other,8,gpt,145,0.05517241379310345,0.028218435934205734,0.1050883815146795
phases 4-6,sadness,5,gpt,18,0.2777777777777778,0.12499569146355474,0.5087307754619452
phases 4-6,anger,4,gpt,18,0.2222222222222222,0.09000781913382,0.4521502645230549
phases 4-6,fear,5,gpt,18,0.2777777777777778,0.12499569146355474,0.5087307754619452
phases 4-6,disgust,2,gpt,18,0.1111111111111111,0.031018868453582787,0.3280024486660421
phases 4-6,Other,2,gpt,18,0.1111111111111111,0.031018868453582787,0.3280024486660421
phase 1,sadness,15,xlm,45,0.3333333333333333,0.21358692207276764,0.479297831907446
phase 1,anger,13,xlm,45,0.28888888888888886,0.1772991803190016,0.43368817472260224
phase 1,fear,13,xlm,45,0.28888888888888886,0.1772991803190016,0.43368817472260224
phase 1,joy,4,xlm,45,0.08888888888888889,0.035110548134203154,0.20733851168365702
phase 2,sadness,423,xlm,1002,0.4221556886227545,0.39192814286229666,0.4529778542648852
phase 2,anger,258,xlm,1002,0.25748502994011974,0.2313732468488996,0.2854492826627054
phase 2,fear,178,xlm,1002,0.17764471057884232,0.15522287591035658,0.20252888142399902
phase 2,joy,143,xlm,1002,0.14271457085828343,0.12241948160952693,0.16573881289728204
phase 3,sadness,59,xlm,145,0.4068965517241379,0.330340421565979,0.4882586797605317
phase 3,anger,39,xlm,145,0.2689655172413793,0.2034414774869696,0.3464155517306684
phase 3,fear,25,xlm,145,0.1724137931034483,0.11959690383831326,0.2421406749031139
phase 3,joy,22,xlm,145,0.15172413793103448,0.10238090565795917,0.21904536226713706
phases 4-6,sadness,6,xlm,18,0.3333333333333333,0.1627855436366286,0.5625093065574964
phases 4-6,anger,6,xlm,18,0.3333333333333333,0.1627855436366286,0.5625093065574964
phases 4-6,fear,3,xlm,18,0.16666666666666666,0.05836470400465757,0.39222499638359243
phases 4-6,joy,3,xlm,18,0.16666666666666666,0.05836470400465757,0.39222499638359243
