phase_id,emotion,n,phase_n,share,wilson_low,wilson_high
1,sadness,24,45,0.5333333333333333,0.3907720886241046,0.6706509605798527
1,anger,4,45,0.08888888888888889,0.035110548134203154,0.20733851168365702
1,fear,12,45,0.26666666666666666,0.15964748860054623,0.4103911669717528
1,disgust,3,45,0.06666666666666667,0.022931616462147086,0.17856874388640825
1,joy,2,45,0.044444444444444446,0.012273869040444335,0.14827779183880616
1,neutral,0,45,0.0,0.0,0.07865426194064076
1,trust,0,45,0.0,0.0,0.07865426194064076
1,anticipation,0,45,0.0,0.0,0.07865426194064076
1,surprise,0,45,0.0,0.0,0.07865426194064076
1,unknown,0,45,0.0,0.0,0.07865426194064076
2,sadness,467,1002,0.4660678642714571,0.4353682277970744,0.4970266940275946
2,anger,170,1002,0.16966067864271456,0.14769223623355113,0.19415244388307948
2,fear,184,1002,0.18363273453093812,0.1608823947085087,0.20879967053914059
2,disgust,101,1002,0.10079840319361277,0.08365497724134198,0.12099116187241112
2,joy,51,1002,0.05089820359281437,0.03892248219793337,0.06630442430503886
2,neutral,13,1002,0.012974051896207584,0.007597521553536989,0.022070768165241787
2,trust,13,1002,0.012974051896207584,0.007597521553536989,0.022070768165241787
2,anticipation,2,1002,0.001996007984031936,0.0005475366866563528,0.007248521857750639
2,surprise,0,1002,0.0,0.0,0.003819289239975757
2,unknown,1,1002,0.000998003992015968,0.00017618940669051437,0.005631484485500859
3,sadness,58,145,0.4,0.3238341968911917,0.48132780082987553
3,anger,25,145,0.1724137931034483,0.11959690383831326,0.2421406749031139
3,fear,31,145,0.21379310344827587,0.15490148025035644,0.2874587201237325
3,disgust,22,145,0.15172413793103448,0.10238090565795917,0.21904536226713706
3,joy,6,145,0.041379310344827586,0.01910002030012347,0.08733258993787449
3,neutral,2,145,0.013793103448275862,0.003790673072295709,0.048893522743927706
3,trust,0,145,0.0,-1.734723475976807e-18,0.02580998860533614
3,anticipation,1,145,0.006896551724137931,0.001218418511928561,0.03802867369885121
3,surprise,0,145,0.0,-1.734723475976807e-18,0.02580998860533614
3,unknown,0,145,0.0,-1.734723475976807e-18,0.02580998860533614
4,sadness,4,15,0.26666666666666666,0.1089727610318281,0.5195088965768675
4,anger,5,15,0.3333333333333333,0.15176100694691236,0.5828687484878701
4,fear,2,15,0.13333333333333333,0.0373604698913593,0.3788249920651624
4,disgust,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
4,joy,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
4,neutral,0,15,0.0,-1.3877787807814457e-17,0.20388926630434784
4,trust,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
4,anticipation,1,15,0.06666666666666667,0.011866588606194856,0.2981707755242399
4,surprise,0,15,0.0,-1.3877787807814457e-17,0.20388926630434784
4,unknown,0,15,0.0,-1.3877787807814457e-17,0.20388926630434784
5,sadness,1,1,1.0,0.20654329147389294,1.0
5,anger,0,1,0.0,0.0,0.7934567085261071
5,fear,0,1,0.0,0.0,0.7934567085261071
5,disgust,0,1,0.0,0.0,0.7934567085261071
5,joy,0,1,0.0,0.0,0.7934567085261071
5,neutral,0,1,0.0,0.0,0.7934567085261071
5,trust,0,1,0.0,0.0,0.7934567085261071
5,anticipation,0,1,0.0,0.0,0.7934567085261071
5,surprise,0,1,0.0,0.0,0.7934567085261071
5,unknown,0,1,0.0,0.0,0.7934567085261071
6,sadness,1,2,0.5,0.09452865480086614,0.9054713451991339
6,anger,0,2,0.0,0.0,0.6576280471103807
6,fear,0,2,0.0,0.0,0.6576280471103807
6,disgust,1,2,0.5,0.09452865480086614,0.9054713451991339
6,joy,0,2,0.0,0.0,0.6576280471103807
6,neutral,0,2,0.0,0.0,0.6576280471103807
6,trust,0,2,0.0,0.0,0.6576280471103807
6,anticipation,0,2,0.0,0.0,0.6576280471103807
6,surprise,0,2,0.0,0.0,0.6576280471103807
6,unknown,0,2,0.0,0.0,0.6576280471103807
