motive_family,motive_label,label_assignments,unique_tweets,full_count_retweets,fractional_tweet_count,fractional_retweet_count,assignment_share,tweet_share,display_label
5,Lack of knowledge/awarenes that it is violence,266,266,1207,197.31666666666666,977.5833333333334,0.2148626817447496,0.32281553398058255,Lack of knowledge about violence
6,Fear,156,156,967,112.51666666666667,707.8166666666667,0.1260096930533118,0.18932038834951456,Fear
7,Self-blame,98,98,454,63.56666666666666,251.81666666666666,0.0791599353796446,0.11893203883495146,Self-blame
11,Shame/embarassment,78,78,574,43.36666666666667,271.65,0.0630048465266559,0.09466019417475728,Shame or embarrassment
3,Others minimized victims experience,73,73,318,46.983333333333334,178.41666666666666,0.05896607431340872,0.08859223300970874,Others minimized the experience
14,"Perpetrator was respected, powerfull, influential",62,62,167,34.75,86.58333333333333,0.050080775444264945,0.07524271844660194,Perpetrator status or power
12,Lack of support from others,60,60,336,33.95,117.31666666666666,0.048465266558966075,0.07281553398058252,Lack of support
15,Invisible violence / lack of physical evidence,56,56,716,37.083333333333336,570.3333333333334,0.045234248788368334,0.06796116504854369,Invisible violence or lack of evidence
9,Managed to escape/defend,56,56,331,40.583333333333336,273.8333333333333,0.045234248788368334,0.06796116504854369,Escaped or defended oneself
19,Protection of the family,54,54,533,31.53333333333333,261.8333333333333,0.04361873990306947,0.06553398058252427,Family protection
16,"""No one would believe""",50,50,119,26.75,59.833333333333336,0.04038772213247173,0.06067961165048544,No one would believe
2,Distrust in institutions,48,48,533,34.5,430.0,0.03877221324717286,0.05825242718446602,Distrust in institutions
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),44,44,597,28.833333333333332,460.8333333333333,0.035541195476575124,0.05339805825242718,Gaslighting or self-doubt
18,Perpetrator was a family member,36,36,332,20.03333333333333,142.5,0.029079159935379646,0.043689320388349516,Perpetrator was family
4,"""I tought that was normal"" (dismisal/minimizing)",23,23,205,16.666666666666668,178.16666666666666,0.018578352180936994,0.027912621359223302,Experience treated as normal
17,Blaming the victim,21,21,32,12.333333333333334,12.5,0.016962843295638127,0.025485436893203883,Victim blaming
22,Dependent on the perpetrator,13,13,290,6.866666666666667,241.08333333333334,0.01050080775444265,0.015776699029126214,Dependence on perpetrator
23,I can deal with it,13,13,65,9.833333333333334,23.666666666666664,0.01050080775444265,0.015776699029126214,Belief that one could deal with it
1,Demotivated by previous cases of reporting,9,9,4,8.5,4.0,0.007269789983844911,0.010922330097087379,Discouraged by prior reporting outcomes
24,OTHER,9,9,1,9.0,1.0,0.007269789983844911,0.010922330097087379,Other
8,"Kept from reporting by others (""advised me not to report"")",9,9,40,7.083333333333333,20.333333333333332,0.007269789983844911,0.010922330097087379,Discouraged by others
20,"Belief that perpetartor will change (""it won't happen again"")",4,4,114,1.95,23.900000000000002,0.0032310177705977385,0.0048543689320388345,Belief perpetrator would change
