motive_family,motive_label,tweets,mean_total_retweets,mean_total_retweets_ci_low,mean_total_retweets_ci_high,median_total_retweets,share_retweeted,mean_survival_span_hours,mean_survival_span_ci_low,mean_survival_span_ci_high,median_survival_span_hours,share_late_after_12h,share_late_after_24h,display_label
15,Invisible violence / lack of physical evidence,56,12.785714285714286,5.767410714285715,21.10848214285714,0.5,0.5,20.852941468253967,7.643137152777777,38.86566294642856,0.034027777777777775,0.2857142857142857,0.21428571428571427,Invisible violence or lack of evidence
18,Perpetrator was a family member,36,9.222222222222221,1.3888888888888888,20.500694444444445,0.0,0.4166666666666667,17.111388888888886,3.0826616512345684,37.21405613425924,0.0,0.16666666666666666,0.1388888888888889,Perpetrator was family
19,Protection of the family,54,9.87037037037037,3.574074074074074,17.801851851851847,1.0,0.5555555555555556,14.927031893004115,7.242510159465022,25.416525720164604,0.31569444444444444,0.2962962962962963,0.18518518518518517,Family protection
2,Distrust in institutions,48,11.104166666666666,4.375,19.966145833333325,0.0,0.4583333333333333,13.140781249999998,7.113106047453704,19.954868055555554,0.0,0.2708333333333333,0.22916666666666666,Distrust in institutions
20,"Belief that perpetartor will change (""it won't happen again"")",4,28.5,0.25,84.25,1.0,0.75,12.966388888888888,0.18520833333333334,38.02298611111111,0.6909722222222222,0.25,0.25,Belief perpetrator would change
10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),44,13.568181818181818,1.8863636363636365,30.84147727272727,0.0,0.4318181818181818,10.923497474747476,3.1397886679292935,21.906102272727274,0.0,0.1590909090909091,0.13636363636363635,Gaslighting or self-doubt
4,"""I tought that was normal"" (dismisal/minimizing)",23,8.91304347826087,2.1739130434782608,19.74021739130435,0.0,0.391304347826087,10.515024154589373,3.6365392512077297,18.26993417874396,0.0,0.2608695652173913,0.21739130434782608,Experience treated as normal
11,Shame/embarassment,78,7.358974358974359,3.371794871794872,12.271153846153846,0.0,0.47435897435897434,10.445900997150996,6.110523682336182,15.901959668803418,0.0,0.21794871794871795,0.16666666666666666,Shame or embarrassment
7,Self-blame,98,4.63265306122449,2.377551020408163,7.61377551020408,0.5,0.5,9.957596371882087,5.462626913265306,15.379388959750562,0.00875,0.20408163265306123,0.1326530612244898,Self-blame
6,Fear,156,6.198717948717949,3.5892628205128205,9.429647435897435,0.0,0.42948717948717946,9.817487535612537,5.047688969017094,16.442290331196574,0.0,0.1794871794871795,0.10897435897435898,Fear
5,Lack of knowledge/awarenes that it is violence,266,4.537593984962406,2.8380639097744362,6.56390977443609,0.0,0.43609022556390975,8.755088763575607,5.332693347953216,12.920556208228906,0.0,0.15413533834586465,0.10526315789473684,Lack of knowledge about violence
22,Dependent on the perpetrator,13,22.307692307692307,1.075,57.78076923076922,0.0,0.46153846153846156,8.269358974358974,0.5546153846153847,17.32359989316239,0.0,0.23076923076923078,0.15384615384615385,Dependence on perpetrator
8,"Kept from reporting by others (""advised me not to report"")",9,4.444444444444445,0.2222222222222222,11.224999999999996,0.0,0.4444444444444444,7.771913580246913,0.05148148148148148,15.997157407407409,0.0,0.3333333333333333,0.1111111111111111,Discouraged by others
9,Managed to escape/defend,56,5.910714285714286,2.195982142857143,10.76830357142857,0.5,0.5,6.954970238095238,3.183340401785714,10.703106646825397,0.0044444444444444444,0.16071428571428573,0.125,Escaped or defended oneself
16,"""No one would believe""",50,2.38,0.88,4.8405,1.0,0.52,6.374638888888889,2.7337754166666666,11.626479583333337,0.027222222222222224,0.12,0.1,No one would believe
3,Others minimized victims experience,73,4.3561643835616435,1.479109589041096,8.863013698630137,0.0,0.3013698630136986,5.5429033485540335,2.419510273972602,9.13533361872146,0.0,0.136986301369863,0.0958904109589041,Others minimized the experience
12,Lack of support from others,60,5.6,1.75,10.717083333333333,0.0,0.2833333333333333,5.527402777777778,2.5200518518518518,9.161651504629628,0.0,0.15,0.1,Lack of support
14,"Perpetrator was respected, powerfull, influential",62,2.693548387096774,1.2903225806451613,4.500403225806451,0.0,0.46774193548387094,5.10038082437276,2.6329927195340503,7.959665210573476,0.0,0.1774193548387097,0.08064516129032258,Perpetrator status or power
23,I can deal with it,13,5.0,0.0,14.538461538461538,0.0,0.23076923076923078,4.233376068376068,0.0,10.279849893162389,0.0,0.15384615384615385,0.07692307692307693,Belief that one could deal with it
17,Blaming the victim,21,1.5238095238095237,0.19047619047619047,3.90595238095238,0.0,0.3333333333333333,3.4213624338624347,0.481467261904762,6.941475529100528,0.0,0.14285714285714285,0.0,Victim blaming
1,Demotivated by previous cases of reporting,9,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.0,0.4444444444444444,0.22314814814814815,0.01765432098765432,0.5797939814814813,0.0,0.0,0.0,Discouraged by prior reporting outcomes
24,OTHER,9,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.09157407407407409,0.0,0.27472222222222226,0.0,0.0,0.0,Other
