retweet_phase_id,retweet_phase,motive_family,motive_label,retweet_label_events,unique_retweets,phase_total_events,phase_share,display_label
1.0,phase_1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),26,26,472,0.05508474576271186,Gaslighting or self-doubt
1.0,phase_1,11,Shame/embarassment,35,35,472,0.07415254237288135,Shame or embarrassment
1.0,phase_1,12,Lack of support from others,15,15,472,0.03177966101694915,Lack of support
1.0,phase_1,14,"Perpetrator was respected, powerfull, influential",13,13,472,0.02754237288135593,Perpetrator status or power
1.0,phase_1,15,Invisible violence / lack of physical evidence,94,94,472,0.19915254237288135,Invisible violence or lack of evidence
1.0,phase_1,16,"""No one would believe""",5,5,472,0.01059322033898305,No one would believe
1.0,phase_1,19,Protection of the family,4,4,472,0.00847457627118644,Family protection
1.0,phase_1,2,Distrust in institutions,74,74,472,0.15677966101694915,Distrust in institutions
1.0,phase_1,22,Dependent on the perpetrator,12,12,472,0.025423728813559324,Dependence on perpetrator
1.0,phase_1,3,Others minimized victims experience,14,14,472,0.029661016949152543,Others minimized the experience
1.0,phase_1,4,"""I tought that was normal"" (dismisal/minimizing)",11,11,472,0.023305084745762712,Experience treated as normal
1.0,phase_1,5,Lack of knowledge/awarenes that it is violence,79,79,472,0.1673728813559322,Lack of knowledge about violence
1.0,phase_1,6,Fear,51,51,472,0.10805084745762712,Fear
1.0,phase_1,7,Self-blame,23,23,472,0.048728813559322036,Self-blame
1.0,phase_1,9,Managed to escape/defend,16,16,472,0.03389830508474576,Escaped or defended oneself
2.0,phase_2,1,Demotivated by previous cases of reporting,4,4,7158,0.0005588153115395362,Discouraged by prior reporting outcomes
2.0,phase_2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),547,547,7158,0.07641799385303158,Gaslighting or self-doubt
2.0,phase_2,11,Shame/embarassment,501,501,7158,0.0699916177703269,Shame or embarrassment
2.0,phase_2,12,Lack of support from others,318,318,7158,0.04442581726739313,Lack of support
2.0,phase_2,14,"Perpetrator was respected, powerfull, influential",129,129,7158,0.01802179379715004,Perpetrator status or power
2.0,phase_2,15,Invisible violence / lack of physical evidence,610,610,7158,0.08521933500977927,Invisible violence or lack of evidence
2.0,phase_2,16,"""No one would believe""",110,110,7158,0.015367421067337244,No one would believe
2.0,phase_2,17,Blaming the victim,31,31,7158,0.004330818664431405,Victim blaming
2.0,phase_2,18,Perpetrator was a family member,317,317,7158,0.044286113439508244,Perpetrator was family
2.0,phase_2,19,Protection of the family,512,512,7158,0.07152835987706063,Family protection
2.0,phase_2,2,Distrust in institutions,413,413,7158,0.05769768091645711,Distrust in institutions
2.0,phase_2,20,"Belief that perpetartor will change (""it won't happen again"")",113,113,7158,0.015786532550991897,Belief perpetrator would change
2.0,phase_2,22,Dependent on the perpetrator,278,278,7158,0.03883766415199776,Dependence on perpetrator
2.0,phase_2,23,I can deal with it,65,65,7158,0.009080748812517463,Belief that one could deal with it
2.0,phase_2,24,OTHER,1,1,7158,0.00013970382788488405,Other
2.0,phase_2,3,Others minimized victims experience,299,299,7158,0.04177144453758033,Others minimized the experience
2.0,phase_2,4,"""I tought that was normal"" (dismisal/minimizing)",191,191,7158,0.026683431126012853,Experience treated as normal
