post_phase_group,motive_family,motive_label,label_assignments,unique_tweets,group_total_assignments,group_assignment_share,display_label
phase 1,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,64,0.015625,Gaslighting or self-doubt
phase 1,11,Shame/embarassment,6,6,64,0.09375,Shame or embarrassment
phase 1,12,Lack of support from others,4,4,64,0.0625,Lack of support
phase 1,14,"Perpetrator was respected, powerfull, influential",3,3,64,0.046875,Perpetrator status or power
phase 1,15,Invisible violence / lack of physical evidence,7,7,64,0.109375,Invisible violence or lack of evidence
phase 1,16,"""No one would believe""",1,1,64,0.015625,No one would believe
phase 1,19,Protection of the family,2,2,64,0.03125,Family protection
phase 1,2,Distrust in institutions,7,7,64,0.109375,Distrust in institutions
phase 1,3,Others minimized victims experience,5,5,64,0.078125,Others minimized the experience
phase 1,4,"""I tought that was normal"" (dismisal/minimizing)",4,4,64,0.0625,Experience treated as normal
phase 1,5,Lack of knowledge/awarenes that it is violence,10,10,64,0.15625,Lack of knowledge about violence
phase 1,6,Fear,8,8,64,0.125,Fear
phase 1,7,Self-blame,3,3,64,0.046875,Self-blame
phase 1,8,"Kept from reporting by others (""advised me not to report"")",1,1,64,0.015625,Discouraged by others
phase 1,9,Managed to escape/defend,2,2,64,0.03125,Escaped or defended oneself
phase 2,1,Demotivated by previous cases of reporting,9,9,1043,0.00862895493767977,Discouraged by prior reporting outcomes
phase 2,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),36,36,1043,0.03451581975071908,Gaslighting or self-doubt
phase 2,11,Shame/embarassment,67,67,1043,0.06423777564717162,Shame or embarrassment
phase 2,12,Lack of support from others,43,43,1043,0.04122722914669223,Lack of support
phase 2,14,"Perpetrator was respected, powerfull, influential",54,54,1043,0.05177372962607862,Perpetrator status or power
phase 2,15,Invisible violence / lack of physical evidence,49,49,1043,0.04697986577181208,Invisible violence or lack of evidence
phase 2,16,"""No one would believe""",46,46,1043,0.04410354745925216,No one would believe
phase 2,17,Blaming the victim,20,20,1043,0.019175455417066157,Victim blaming
phase 2,18,Perpetrator was a family member,30,30,1043,0.028763183125599234,Perpetrator was family
phase 2,19,Protection of the family,51,51,1043,0.0488974113135187,Family protection
phase 2,2,Distrust in institutions,35,35,1043,0.03355704697986577,Distrust in institutions
phase 2,20,"Belief that perpetartor will change (""it won't happen again"")",3,3,1043,0.0028763183125599234,Belief perpetrator would change
phase 2,22,Dependent on the perpetrator,11,11,1043,0.010546500479386385,Dependence on perpetrator
phase 2,23,I can deal with it,11,11,1043,0.010546500479386385,Belief that one could deal with it
phase 2,24,OTHER,7,7,1043,0.006711409395973154,Other
phase 2,3,Others minimized victims experience,59,59,1043,0.05656759348034516,Others minimized the experience
phase 2,4,"""I tought that was normal"" (dismisal/minimizing)",13,13,1043,0.012464046021093002,Experience treated as normal
phase 2,5,Lack of knowledge/awarenes that it is violence,232,232,1043,0.2224352828379674,Lack of knowledge about violence
phase 2,6,Fear,122,122,1043,0.11697027804410355,Fear
phase 2,7,Self-blame,87,87,1043,0.08341323106423777,Self-blame
phase 2,8,"Kept from reporting by others (""advised me not to report"")",7,7,1043,0.006711409395973154,Discouraged by others
phase 2,9,Managed to escape/defend,51,51,1043,0.0488974113135187,Escaped or defended oneself
phase 3,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),6,6,123,0.04878048780487805,Gaslighting or self-doubt
phase 3,11,Shame/embarassment,5,5,123,0.04065040650406504,Shame or embarrassment
phase 3,12,Lack of support from others,12,12,123,0.0975609756097561,Lack of support
phase 3,14,"Perpetrator was respected, powerfull, influential",4,4,123,0.032520325203252036,Perpetrator status or power
phase 3,16,"""No one would believe""",3,3,123,0.024390243902439025,No one would believe
phase 3,17,Blaming the victim,1,1,123,0.008130081300813009,Victim blaming
phase 3,18,Perpetrator was a family member,5,5,123,0.04065040650406504,Perpetrator was family
phase 3,19,Protection of the family,1,1,123,0.008130081300813009,Family protection
phase 3,2,Distrust in institutions,6,6,123,0.04878048780487805,Distrust in institutions
phase 3,20,"Belief that perpetartor will change (""it won't happen again"")",1,1,123,0.008130081300813009,Belief perpetrator would change
phase 3,22,Dependent on the perpetrator,2,2,123,0.016260162601626018,Dependence on perpetrator
phase 3,23,I can deal with it,2,2,123,0.016260162601626018,Belief that one could deal with it
phase 3,24,OTHER,1,1,123,0.008130081300813009,Other
phase 3,3,Others minimized victims experience,8,8,123,0.06504065040650407,Others minimized the experience
phase 3,4,"""I tought that was normal"" (dismisal/minimizing)",6,6,123,0.04878048780487805,Experience treated as normal
phase 3,5,Lack of knowledge/awarenes that it is violence,24,24,123,0.1951219512195122,Lack of knowledge about violence
phase 3,6,Fear,24,24,123,0.1951219512195122,Fear
phase 3,7,Self-blame,8,8,123,0.06504065040650407,Self-blame
phase 3,8,"Kept from reporting by others (""advised me not to report"")",1,1,123,0.008130081300813009,Discouraged by others
phase 3,9,Managed to escape/defend,3,3,123,0.024390243902439025,Escaped or defended oneself
phases 4-6,10,Perpetrator persuaded me that it was noting / it was my fault (gaslightning),1,1,8,0.125,Gaslighting or self-doubt
phases 4-6,12,Lack of support from others,1,1,8,0.125,Lack of support
phases 4-6,14,"Perpetrator was respected, powerfull, influential",1,1,8,0.125,Perpetrator status or power
phases 4-6,18,Perpetrator was a family member,1,1,8,0.125,Perpetrator was family
phases 4-6,24,OTHER,1,1,8,0.125,Other
phases 4-6,3,Others minimized victims experience,1,1,8,0.125,Others minimized the experience
phases 4-6,6,Fear,2,2,8,0.25,Fear
