hour_idx,hour_start_utc,hour_end_utc,n_retweets,phase_id,phase_label
0,2021-12-25 15:00:00+0000,2021-12-25 16:00:00+0000,12,1,phase_1
1,2021-12-25 16:00:00+0000,2021-12-25 17:00:00+0000,22,1,phase_1
2,2021-12-25 17:00:00+0000,2021-12-25 18:00:00+0000,15,1,phase_1
3,2021-12-25 18:00:00+0000,2021-12-25 19:00:00+0000,18,1,phase_1
4,2021-12-25 19:00:00+0000,2021-12-25 20:00:00+0000,4,1,phase_1
5,2021-12-25 20:00:00+0000,2021-12-25 21:00:00+0000,18,1,phase_1
6,2021-12-25 21:00:00+0000,2021-12-25 22:00:00+0000,47,1,phase_1
7,2021-12-25 22:00:00+0000,2021-12-25 23:00:00+0000,69,1,phase_1
8,2021-12-25 23:00:00+0000,2021-12-26 00:00:00+0000,60,1,phase_1
9,2021-12-26 00:00:00+0000,2021-12-26 01:00:00+0000,87,1,phase_1
10,2021-12-26 01:00:00+0000,2021-12-26 02:00:00+0000,60,1,phase_1
11,2021-12-26 02:00:00+0000,2021-12-26 03:00:00+0000,38,1,phase_1
12,2021-12-26 03:00:00+0000,2021-12-26 04:00:00+0000,17,1,phase_1
13,2021-12-26 04:00:00+0000,2021-12-26 05:00:00+0000,7,1,phase_1
14,2021-12-26 05:00:00+0000,2021-12-26 06:00:00+0000,13,1,phase_1
15,2021-12-26 06:00:00+0000,2021-12-26 07:00:00+0000,42,2,phase_2
16,2021-12-26 07:00:00+0000,2021-12-26 08:00:00+0000,134,2,phase_2
17,2021-12-26 08:00:00+0000,2021-12-26 09:00:00+0000,297,2,phase_2
18,2021-12-26 09:00:00+0000,2021-12-26 10:00:00+0000,466,2,phase_2
19,2021-12-26 10:00:00+0000,2021-12-26 11:00:00+0000,540,2,phase_2
20,2021-12-26 11:00:00+0000,2021-12-26 12:00:00+0000,879,2,phase_2
21,2021-12-26 12:00:00+0000,2021-12-26 13:00:00+0000,1105,2,phase_2
22,2021-12-26 13:00:00+0000,2021-12-26 14:00:00+0000,889,2,phase_2
23,2021-12-26 14:00:00+0000,2021-12-26 15:00:00+0000,894,2,phase_2
24,2021-12-26 15:00:00+0000,2021-12-26 16:00:00+0000,1195,2,phase_2
25,2021-12-26 16:00:00+0000,2021-12-26 17:00:00+0000,866,2,phase_2
26,2021-12-26 17:00:00+0000,2021-12-26 18:00:00+0000,721,2,phase_2
27,2021-12-26 18:00:00+0000,2021-12-26 19:00:00+0000,653,2,phase_2
28,2021-12-26 19:00:00+0000,2021-12-26 20:00:00+0000,538,2,phase_2
29,2021-12-26 20:00:00+0000,2021-12-26 21:00:00+0000,563,2,phase_2
30,2021-12-26 21:00:00+0000,2021-12-26 22:00:00+0000,574,2,phase_2
31,2021-12-26 22:00:00+0000,2021-12-26 23:00:00+0000,590,2,phase_2
32,2021-12-26 23:00:00+0000,2021-12-27 00:00:00+0000,420,2,phase_2
33,2021-12-27 00:00:00+0000,2021-12-27 01:00:00+0000,358,2,phase_2
34,2021-12-27 01:00:00+0000,2021-12-27 02:00:00+0000,205,2,phase_2
35,2021-12-27 02:00:00+0000,2021-12-27 03:00:00+0000,108,2,phase_2
36,2021-12-27 03:00:00+0000,2021-12-27 04:00:00+0000,32,2,phase_2
37,2021-12-27 04:00:00+0000,2021-12-27 05:00:00+0000,48,2,phase_2
38,2021-12-27 05:00:00+0000,2021-12-27 06:00:00+0000,80,2,phase_2
39,2021-12-27 06:00:00+0000,2021-12-27 07:00:00+0000,129,2,phase_2
40,2021-12-27 07:00:00+0000,2021-12-27 08:00:00+0000,212,2,phase_2
41,2021-12-27 08:00:00+0000,2021-12-27 09:00:00+0000,298,2,phase_2
42,2021-12-27 09:00:00+0000,2021-12-27 10:00:00+0000,286,2,phase_2
43,2021-12-27 10:00:00+0000,2021-12-27 11:00:00+0000,304,2,phase_2
44,2021-12-27 11:00:00+0000,2021-12-27 12:00:00+0000,308,2,phase_2
45,2021-12-27 12:00:00+0000,2021-12-27 13:00:00+0000,464,2,phase_2
46,2021-12-27 13:00:00+0000,2021-12-27 14:00:00+0000,363,2,phase_2
47,2021-12-27 14:00:00+0000,2021-12-27 15:00:00+0000,239,2,phase_2
48,2021-12-27 15:00:00+0000,2021-12-27 16:00:00+0000,238,2,phase_2
49,2021-12-27 16:00:00+0000,2021-12-27 17:00:00+0000,293,2,phase_2
50,2021-12-27 17:00:00+0000,2021-12-27 18:00:00+0000,270,2,phase_2
51,2021-12-27 18:00:00+0000,2021-12-27 19:00:00+0000,255,2,phase_2
52,2021-12-27 19:00:00+0000,2021-12-27 20:00:00+0000,330,2,phase_2
53,2021-12-27 20:00:00+0000,2021-12-27 21:00:00+0000,200,2,phase_2
54,2021-12-27 21:00:00+0000,2021-12-27 22:00:00+0000,145,2,phase_2
55,2021-12-27 22:00:00+0000,2021-12-27 23:00:00+0000,177,2,phase_2
56,2021-12-27 23:00:00+0000,2021-12-28 00:00:00+0000,160,2,phase_2
57,2021-12-28 00:00:00+0000,2021-12-28 01:00:00+0000,89,3,phase_3
58,2021-12-28 01:00:00+0000,2021-12-28 02:00:00+0000,71,3,phase_3
59,2021-12-28 02:00:00+0000,2021-12-28 03:00:00+0000,31,3,phase_3
60,2021-12-28 03:00:00+0000,2021-12-28 04:00:00+0000,12,3,phase_3
61,2021-12-28 04:00:00+0000,2021-12-28 05:00:00+0000,12,3,phase_3
62,2021-12-28 05:00:00+0000,2021-12-28 06:00:00+0000,17,3,phase_3
63,2021-12-28 06:00:00+0000,2021-12-28 07:00:00+0000,65,3,phase_3
64,2021-12-28 07:00:00+0000,2021-12-28 08:00:00+0000,88,3,phase_3
65,2021-12-28 08:00:00+0000,2021-12-28 09:00:00+0000,110,3,phase_3
66,2021-12-28 09:00:00+0000,2021-12-28 10:00:00+0000,108,3,phase_3
67,2021-12-28 10:00:00+0000,2021-12-28 11:00:00+0000,87,3,phase_3
68,2021-12-28 11:00:00+0000,2021-12-28 12:00:00+0000,80,3,phase_3
69,2021-12-28 12:00:00+0000,2021-12-28 13:00:00+0000,53,3,phase_3
70,2021-12-28 13:00:00+0000,2021-12-28 14:00:00+0000,37,3,phase_3
71,2021-12-28 14:00:00+0000,2021-12-28 15:00:00+0000,32,3,phase_3
72,2021-12-28 15:00:00+0000,2021-12-28 16:00:00+0000,55,3,phase_3
73,2021-12-28 16:00:00+0000,2021-12-28 17:00:00+0000,39,3,phase_3
74,2021-12-28 17:00:00+0000,2021-12-28 18:00:00+0000,44,3,phase_3
75,2021-12-28 18:00:00+0000,2021-12-28 19:00:00+0000,42,3,phase_3
76,2021-12-28 19:00:00+0000,2021-12-28 20:00:00+0000,33,3,phase_3
77,2021-12-28 20:00:00+0000,2021-12-28 21:00:00+0000,31,3,phase_3
78,2021-12-28 21:00:00+0000,2021-12-28 22:00:00+0000,39,3,phase_3
79,2021-12-28 22:00:00+0000,2021-12-28 23:00:00+0000,30,3,phase_3
80,2021-12-28 23:00:00+0000,2021-12-29 00:00:00+0000,37,3,phase_3
81,2021-12-29 00:00:00+0000,2021-12-29 01:00:00+0000,19,3,phase_3
82,2021-12-29 01:00:00+0000,2021-12-29 02:00:00+0000,14,3,phase_3
83,2021-12-29 02:00:00+0000,2021-12-29 03:00:00+0000,4,3,phase_3
84,2021-12-29 03:00:00+0000,2021-12-29 04:00:00+0000,2,3,phase_3
85,2021-12-29 04:00:00+0000,2021-12-29 05:00:00+0000,5,3,phase_3
86,2021-12-29 05:00:00+0000,2021-12-29 06:00:00+0000,2,3,phase_3
87,2021-12-29 06:00:00+0000,2021-12-29 07:00:00+0000,8,3,phase_3
88,2021-12-29 07:00:00+0000,2021-12-29 08:00:00+0000,19,3,phase_3
89,2021-12-29 08:00:00+0000,2021-12-29 09:00:00+0000,28,3,phase_3
90,2021-12-29 09:00:00+0000,2021-12-29 10:00:00+0000,20,3,phase_3
91,2021-12-29 10:00:00+0000,2021-12-29 11:00:00+0000,41,3,phase_3
92,2021-12-29 11:00:00+0000,2021-12-29 12:00:00+0000,45,3,phase_3
93,2021-12-29 12:00:00+0000,2021-12-29 13:00:00+0000,28,3,phase_3
94,2021-12-29 13:00:00+0000,2021-12-29 14:00:00+0000,25,3,phase_3
95,2021-12-29 14:00:00+0000,2021-12-29 15:00:00+0000,32,3,phase_3
96,2021-12-29 15:00:00+0000,2021-12-29 16:00:00+0000,23,3,phase_3
97,2021-12-29 16:00:00+0000,2021-12-29 17:00:00+0000,43,3,phase_3
98,2021-12-29 17:00:00+0000,2021-12-29 18:00:00+0000,29,3,phase_3
99,2021-12-29 18:00:00+0000,2021-12-29 19:00:00+0000,31,3,phase_3
100,2021-12-29 19:00:00+0000,2021-12-29 20:00:00+0000,18,3,phase_3
101,2021-12-29 20:00:00+0000,2021-12-29 21:00:00+0000,18,3,phase_3
102,2021-12-29 21:00:00+0000,2021-12-29 22:00:00+0000,9,3,phase_3
103,2021-12-29 22:00:00+0000,2021-12-29 23:00:00+0000,17,3,phase_3
104,2021-12-29 23:00:00+0000,2021-12-30 00:00:00+0000,4,3,phase_3
105,2021-12-30 00:00:00+0000,2021-12-30 01:00:00+0000,12,3,phase_3
106,2021-12-30 01:00:00+0000,2021-12-30 02:00:00+0000,7,3,phase_3
107,2021-12-30 02:00:00+0000,2021-12-30 03:00:00+0000,9,3,phase_3
108,2021-12-30 03:00:00+0000,2021-12-30 04:00:00+0000,6,3,phase_3
109,2021-12-30 04:00:00+0000,2021-12-30 05:00:00+0000,1,3,phase_3
110,2021-12-30 05:00:00+0000,2021-12-30 06:00:00+0000,8,3,phase_3
111,2021-12-30 06:00:00+0000,2021-12-30 07:00:00+0000,8,3,phase_3
112,2021-12-30 07:00:00+0000,2021-12-30 08:00:00+0000,16,3,phase_3
113,2021-12-30 08:00:00+0000,2021-12-30 09:00:00+0000,17,3,phase_3
114,2021-12-30 09:00:00+0000,2021-12-30 10:00:00+0000,16,3,phase_3
115,2021-12-30 10:00:00+0000,2021-12-30 11:00:00+0000,14,3,phase_3
116,2021-12-30 11:00:00+0000,2021-12-30 12:00:00+0000,11,3,phase_3
117,2021-12-30 12:00:00+0000,2021-12-30 13:00:00+0000,8,3,phase_3
118,2021-12-30 13:00:00+0000,2021-12-30 14:00:00+0000,18,3,phase_3
119,2021-12-30 14:00:00+0000,2021-12-30 15:00:00+0000,16,3,phase_3
120,2021-12-30 15:00:00+0000,2021-12-30 16:00:00+0000,11,3,phase_3
121,2021-12-30 16:00:00+0000,2021-12-30 17:00:00+0000,5,3,phase_3
122,2021-12-30 17:00:00+0000,2021-12-30 18:00:00+0000,9,3,phase_3
123,2021-12-30 18:00:00+0000,2021-12-30 19:00:00+0000,6,4,phase_4
124,2021-12-30 19:00:00+0000,2021-12-30 20:00:00+0000,7,4,phase_4
125,2021-12-30 20:00:00+0000,2021-12-30 21:00:00+0000,7,4,phase_4
126,2021-12-30 21:00:00+0000,2021-12-30 22:00:00+0000,8,4,phase_4
127,2021-12-30 22:00:00+0000,2021-12-30 23:00:00+0000,7,4,phase_4
128,2021-12-30 23:00:00+0000,2021-12-31 00:00:00+0000,5,4,phase_4
129,2021-12-31 00:00:00+0000,2021-12-31 01:00:00+0000,6,4,phase_4
130,2021-12-31 01:00:00+0000,2021-12-31 02:00:00+0000,1,4,phase_4
131,2021-12-31 02:00:00+0000,2021-12-31 03:00:00+0000,3,4,phase_4
132,2021-12-31 03:00:00+0000,2021-12-31 04:00:00+0000,0,4,phase_4
133,2021-12-31 04:00:00+0000,2021-12-31 05:00:00+0000,2,4,phase_4
