k,negative_2_log_likelihood,bic,delta_bic,dispersion_size,dispersion_alpha,bic_minimum,chosen,model
1,1481.180755467168,1491.1886480790588,201.8100351117571,0.2589903500823026,3.8611477210723,False,False,"shared-dispersion negative binomial, three-hour bins"
2,1291.8632437588583,1311.8790289826402,22.500416015338487,0.7211505990957676,1.3866729102823665,False,False,"shared-dispersion negative binomial, three-hour bins"
3,1264.7481971852428,1294.7718750209156,5.393262053613853,0.866759013688515,1.1537232197268703,False,False,"shared-dispersion negative binomial, three-hour bins"
4,1251.47432131678,1291.5058917643437,2.1272787970419813,0.956424320921372,1.045561031986984,False,False,"shared-dispersion negative binomial, three-hour bins"
5,1244.3780016933945,1294.4174647528491,5.038851785547422,1.0051963637009511,0.9948304989068812,False,False,"shared-dispersion negative binomial, three-hour bins"
6,1229.3312572959562,1289.3786129673017,0.0,1.1256430482510515,0.8883810916380044,True,True,"shared-dispersion negative binomial, three-hour bins"
7,1219.3689089063876,1289.424157189624,0.045544222322178,1.2219297523387702,0.8183776506677268,False,False,"shared-dispersion negative binomial, three-hour bins"
8,1214.961945266438,1295.0250861615652,5.646473194263535,1.2708598105437594,0.7868688518619003,False,False,"shared-dispersion negative binomial, three-hour bins"
9,1212.7594225832645,1302.8304560902827,13.451843122981018,1.295923060967705,0.7716507485045213,False,False,"shared-dispersion negative binomial, three-hour bins"
10,1212.148267648823,1312.2271937677324,22.84858080043068,1.3031729019392249,0.7673578836023375,False,False,"shared-dispersion negative binomial, three-hour bins"
11,1211.9444092243757,1322.0312279551756,32.6526149878739,1.3056242589504157,0.7659171412791417,False,False,"shared-dispersion negative binomial, three-hour bins"
12,1217.8564624004457,1337.951173743137,48.57256077583497,1.238331142294034,0.8075384409274238,False,False,"shared-dispersion negative binomial, three-hour bins"
