k,negative_2_log_likelihood,bic,delta_bic,dispersion_size,dispersion_alpha,bic_minimum
1,1481.180755467168,1491.1886480790588,201.8100351117571,0.25899035008230264,3.8611477210723,False
2,1291.8632437588583,1311.8790289826402,22.500416015338487,0.7211505990957676,1.3866729102823663,False
3,1264.7481971852428,1294.7718750209156,5.393262053613853,0.866759013688515,1.1537232197268703,False
4,1251.47432131678,1291.5058917643437,2.1272787970419813,0.9564243209213721,1.045561031986984,False
5,1244.3780016933945,1294.4174647528491,5.038851785547422,1.0051963637009511,0.9948304989068812,False
6,1229.3312572959562,1289.3786129673017,0.0,1.1256430482510515,0.8883810916380044,True
7,1219.3689089063876,1289.4241571896239,0.04554422232217803,1.2219297523387702,0.8183776506677268,False
8,1214.9619452664379,1295.0250861615652,5.646473194263535,1.2708598105437594,0.7868688518619003,False
9,1212.7594225832645,1302.8304560902827,13.451843122981018,1.295923060967705,0.7716507485045213,False
10,1212.148267648823,1312.2271937677324,22.848580800430682,1.3031729019392249,0.7673578836023375,False
11,1211.9444092243755,1322.0312279551756,32.6526149878739,1.3056242589504155,0.7659171412791417,False
12,1217.8564624004457,1337.9511737431367,48.57256077583497,1.238331142294034,0.8075384409274238,False
