k,negative_2_log_likelihood,bic,delta_bic,dispersion_size,dispersion_alpha,bic_minimum
1,3436.1725207160007,3448.386566491485,613.7622682102965,0.22286564025529465,4.487008400462677,False
2,2946.1205687968204,2970.5486603477893,135.92436206660068,0.645670823052557,1.548776813659119,False
3,2872.583835523272,2909.225972849725,74.60167456853651,0.8007469826465847,1.2488339284087655,False
4,2833.4430508280425,2882.2992339299803,47.67493564879169,0.9160783395494473,1.0916096984585704,False
5,2814.5815215034067,2875.651750380829,41.02745209964041,0.9800002958209647,1.0204078552469018,False
6,2778.0765313202833,2851.3608059731905,16.73650769200185,1.0898921081814814,0.9175220120352379,False
7,2751.186995652654,2836.6853160810456,2.061017799856927,1.2079670554423132,0.8278371462985278,False
8,2736.9119320773125,2834.6242982811887,0.0,1.2894562668652263,0.7755206792946006,True
9,2728.1894201163013,2838.115832095662,3.491533814473314,1.338773647189954,0.7469522589565235,False
10,2726.4840317955286,2848.6244895503737,14.000191269185052,1.3496873031914185,0.7409123562438785,False
11,2725.8527782402953,2860.207281770625,25.582983489436174,1.3539125011339495,0.7386001674129345,False
12,2743.929549332965,2890.498098638779,55.873800357590426,1.245395003619456,0.8029580952980608,False
