model,phase_id,n_bins,bin_hours,mean_count_per_bin,variance_count_per_bin,variance_to_mean,lag1_correlation
NB hourly K=8,1,16,1,33.0625,632.0625,19.117202268431,0.714560460412018
NB hourly K=8,2,17,1,666.1176470588235,77477.98529411765,116.3127649240551,0.7512776423656885
NB hourly K=8,3,24,1,229.25,11355.239130434782,49.532122706367645,0.728450765941762
NB hourly K=8,4,24,1,51.75,835.5,16.144927536231883,0.7798955577647406
NB hourly K=8,5,47,1,15.127659574468085,119.28769657724331,7.8854032899162245,0.7364240527746915
NB hourly K=8,6,184,1,2.494565217391304,16.67756593014968,6.685560198578521,0.4098481246744805
NB hourly K=8,7,30,1,10.266666666666667,26.409195402298852,2.572324227496641,0.5281974605575134
NB hourly K=8,8,107,1,2.8598130841121496,18.329218832657382,6.409236650635098,0.482788476529156
NB 3-hour K=8,1,5,3,97.4,5784.3,59.3870636550308,-0.04490131396509089
NB 3-hour K=8,2,6,3,1894.3333333333333,782320.2666666666,412.9792011261657,0.30166338948426785
NB 3-hour K=8,3,8,3,687.75,76153.07142857143,110.72783922729398,0.2699853343884742
NB 3-hour K=8,4,8,3,155.25,6647.928571428572,42.820795951230735,-0.0759504372142871
NB 3-hour K=8,5,16,3,44.75,857.9333333333333,19.17169459962756,0.6268911769355193
NB 3-hour K=8,6,61,3,7.442622950819672,83.48415300546445,11.217033773861964,0.3223301816084922
NB 3-hour K=8,7,10,3,30.8,161.2888888888889,5.236652236652237,0.22811535721620743
NB 3-hour K=8,8,35,3,8.628571428571428,124.94621848739496,14.480522010128556,0.10704356864790007
