phase_id,post_type,emotion,n,phase_post_type_total,share
1,comment,anger,2,22,0.09090909090909091
1,comment,fear,4,22,0.18181818181818182
1,comment,joy,3,22,0.13636363636363635
1,comment,neutral,1,22,0.045454545454545456
1,comment,sadness,12,22,0.5454545454545454
1,post,anger,17,101,0.16831683168316833
1,post,disgust,7,101,0.06930693069306931
1,post,fear,13,101,0.12871287128712872
1,post,joy,15,101,0.1485148514851485
1,post,neutral,10,101,0.09900990099009901
1,post,sadness,35,101,0.3465346534653465
1,post,surprise,2,101,0.019801980198019802
1,post,trust,2,101,0.019801980198019802
1,retweet,anger,42,487,0.08624229979466119
1,retweet,disgust,21,487,0.043121149897330596
1,retweet,fear,101,487,0.20739219712525667
1,retweet,joy,37,487,0.07597535934291581
1,retweet,neutral,22,487,0.045174537987679675
1,retweet,sadness,240,487,0.4928131416837782
1,retweet,trust,24,487,0.049281314168377825
2,comment,anger,135,547,0.24680073126142596
2,comment,anticipation,7,547,0.012797074954296161
2,comment,disgust,81,547,0.1480804387568556
2,comment,fear,51,547,0.09323583180987204
2,comment,joy,51,547,0.09323583180987204
2,comment,neutral,62,547,0.113345521023766
2,comment,sadness,141,547,0.2577696526508227
2,comment,surprise,4,547,0.007312614259597806
2,comment,trust,14,547,0.025594149908592323
2,comment,unknown,1,547,0.0018281535648994515
2,post,anger,694,2977,0.23312059119919382
2,post,anticipation,31,2977,0.010413167618407793
2,post,disgust,397,2977,0.13335572724219014
2,post,fear,242,2977,0.08128988915015116
2,post,joy,408,2977,0.13705072220356063
2,post,neutral,203,2977,0.06818945246892845
2,post,sadness,905,2977,0.30399731273093716
2,post,surprise,7,2977,0.0023513604299630502
2,post,trust,80,2977,0.026872690628149145
2,post,unknown,10,2977,0.003359086328518643
2,retweet,anger,5076,16871,0.30087131764566416
2,retweet,anticipation,71,16871,0.004208404955248652
2,retweet,disgust,1553,16871,0.09205144923241064
2,retweet,fear,1378,16871,0.08167862011736116
2,retweet,joy,1322,16871,0.07835931480054531
2,retweet,neutral,1042,16871,0.06176278821646613
2,retweet,sadness,5324,16871,0.31557109833442
2,retweet,surprise,2,16871,0.0001185466184577085
2,retweet,trust,1087,16871,0.06443008713176457
2,retweet,unknown,16,16871,0.000948372947661668
3,comment,anger,53,155,0.3419354838709677
3,comment,anticipation,2,155,0.012903225806451613
3,comment,disgust,29,155,0.1870967741935484
3,comment,fear,7,155,0.04516129032258064
3,comment,joy,16,155,0.1032258064516129
3,comment,neutral,24,155,0.15483870967741936
3,comment,sadness,19,155,0.12258064516129032
3,comment,surprise,1,155,0.0064516129032258064
3,comment,trust,4,155,0.025806451612903226
3,post,anger,171,566,0.30212014134275617
3,post,anticipation,5,566,0.0088339222614841
3,post,disgust,79,566,0.13957597173144876
3,post,fear,44,566,0.07773851590106007
3,post,joy,51,566,0.09010600706713781
3,post,neutral,75,566,0.13250883392226148
3,post,sadness,128,566,0.22614840989399293
3,post,surprise,6,566,0.01060070671378092
3,post,trust,7,566,0.012367491166077738
3,retweet,anger,636,1918,0.3315954118873827
3,retweet,anticipation,13,1918,0.006777893639207508
3,retweet,disgust,297,1918,0.1548488008342023
3,retweet,fear,110,1918,0.05735140771637122
3,retweet,joy,97,1918,0.05057351407716371
3,retweet,neutral,174,1918,0.09071949947862357
3,retweet,sadness,477,1918,0.24869655891553702
3,retweet,surprise,41,1918,0.02137643378519291
3,retweet,trust,73,1918,0.038060479666319084
4,comment,anger,18,47,0.3829787234042553
4,comment,anticipation,2,47,0.0425531914893617
4,comment,disgust,8,47,0.1702127659574468
4,comment,fear,4,47,0.0851063829787234
4,comment,joy,5,47,0.10638297872340426
4,comment,neutral,6,47,0.1276595744680851
4,comment,sadness,3,47,0.06382978723404255
4,comment,surprise,1,47,0.02127659574468085
4,post,anger,30,116,0.25862068965517243
4,post,anticipation,3,116,0.02586206896551724
