phase_id,post_type,dominant_emotion,n,phase_post_type_total,dominant_share
1,comment,sadness,12,22,0.5454545454545454
1,post,sadness,35,101,0.3465346534653465
1,retweet,sadness,240,487,0.4928131416837782
2,comment,sadness,141,547,0.2577696526508227
2,post,sadness,905,2977,0.30399731273093716
2,retweet,sadness,5324,16871,0.31557109833442
3,comment,anger,53,155,0.3419354838709677
3,post,anger,171,566,0.30212014134275617
3,retweet,anger,636,1918,0.3315954118873827
4,comment,anger,18,47,0.3829787234042553
4,post,anger,30,116,0.25862068965517243
4,retweet,anger,226,530,0.42641509433962266
5,comment,disgust,11,24,0.4583333333333333
5,post,anger,24,47,0.5106382978723404
5,retweet,anger,196,308,0.6363636363636364
6,comment,anger,8,21,0.38095238095238093
6,post,neutral,18,65,0.27692307692307694
6,retweet,anticipation,94,302,0.31125827814569534
