motive_family,display_label,unique_tweets,label_assignments,source_fractional_count,retweet_fractional_count,source_share,retweet_share,percentage_point_change,log2_multiplier,amplification_multiplier,log2_ci_low,log2_ci_high,percentage_point_ci_low,percentage_point_ci_high,permutation_p,eligible_main,global_js_observed,global_permutation_p,fdr_q
22,Dependence on perpetrator,13,13,6.866666666666666,241.08333333333334,0.008333333333333331,0.04553037456720177,0.03719704123386844,2.4498637337958264,5.463644947528576,-3.1572586609776256,3.9135295425414056,-0.0067636653333927885,0.12010879015542018,,False,0.2574180968012717,0.014498550144985502,
10,Gaslighting or self-doubt,44,44,28.833333333333332,460.8333333333333,0.03499190938511326,0.08703179099779668,0.052039881612683414,1.3145210957642122,2.487197541536151,-1.9008719408374595,2.5529142887665537,-0.026185931699630058,0.17366060384080242,0.19658034196580343,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
15,Invisible violence or lack of evidence,56,56,37.08333333333333,570.3333333333333,0.045004045307443355,0.10771167768334908,0.06270763237590572,1.2590480769205104,2.3933776829644455,0.012652373048226011,2.027710088958365,0.000374478166338613,0.14196414770817148,0.0776922307769223,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
2,Distrust in institutions,48,48,34.5,430.0,0.04186893203883495,0.08120868744098207,0.039339755402147125,0.9557539510981191,1.9395929985679714,-0.5556089222548825,1.8545486009162708,-0.012475695930691129,0.10678589213712651,0.1695830416958304,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
20,Belief perpetrator would change,4,4,1.95,23.900000000000002,0.0023665048543689317,0.004513692162417376,0.0021471873080484444,0.9315501471320159,1.90732427747912,-28.176636616220254,3.9028474675363753,-0.003916112353196635,0.012025421110610649,,False,0.2574180968012717,0.014498550144985502,
4,Experience treated as normal,23,23,16.666666666666664,178.16666666666666,0.020226537216828475,0.03364809568775575,0.013421558470927276,0.7342755062208352,1.6635618507698382,-1.6893802984306923,1.8450853626078003,-0.0127501638865128,0.05252226239730175,,False,0.2574180968012717,0.014498550144985502,
19,Family protection,54,54,31.53333333333333,261.8333333333333,0.03826860841423947,0.04944916587976079,0.011180557465521317,0.3697847451371598,1.292160021712965,-0.7052564107938235,1.111743763200445,-0.014780077873513986,0.04311444372195524,0.6340365963403659,True,0.2574180968012717,0.014498550144985502,0.8876512348765123
18,Perpetrator was family,36,36,20.03333333333333,142.5,0.024312297734627827,0.02691218130311615,0.002599883568488323,0.14657308224722435,1.1069369747261029,-1.8760890159188979,1.1557247691885937,-0.01749490770253664,0.027794812779070657,0.8756124387561244,True,0.2574180968012717,0.014498550144985502,0.9463053694630537
9,Escaped or defended oneself,56,56,40.583333333333336,273.8333333333333,0.04925161812297734,0.05171545483160214,0.0024638367086248017,0.07042436116985647,1.0500254976886805,-1.308772899374608,1.0621821403366711,-0.0294788066871521,0.05250409004260015,0.9183081691830817,True,0.2574180968012717,0.014498550144985502,0.9463053694630537
6,Fear,156,156,112.51666666666664,707.8166666666667,0.136549352750809,0.1336764242996538,-0.002872928451155221,-0.030677427199456844,0.9789605121279701,-0.8886322681304077,0.666057891383229,-0.05956666033317105,0.07767898237627123,0.9384061593840616,True,0.2574180968012717,0.014498550144985502,0.9463053694630537
11,Shame or embarrassment,78,78,43.36666666666668,271.65,0.052629449838187715,0.051303116147308786,-0.0013263336908789294,-0.036823856021087134,0.9747986404013035,-0.7927665365433847,0.5987428645799098,-0.022721466560825996,0.026663259979117473,0.9463053694630537,True,0.2574180968012717,0.014498550144985502,0.9463053694630537
